record_offset,sig8,body_prefix,pos_014,pos_01c,pos_020,pos_024,pos_028,pos_088,pos_094,pos_0a4
190698305,0000010c43fc8192,c909,465024755,1089133111,3705141756,1866291738,3914323975,1594997348,4016120373,2582122624
190894657,0000010c43fc8192,c900,834370415,3765792027,4016831742,933145869,1957161987,3337009913,1089129915,2719112101
191755906,0000010c43fc8192,c90f,1623649901,3698342582,2381805054,2132528982,2260358134,32361954,2227885277,2425543945
192495260,0000010c43fc8192,cc87,104296301,3338906472,3749404239,4173133160,1805991776,4214634273,3336733141,3486253081
192584008,0000010c43fc8192,c909,3247299547,3101717869,468708297,4279738029,225748972,1304295020,52803348,1068645376
193306019,0000010c43fc8192,c90f,3859574502,1536034646,3518951100,2683402730,3503770238,1319471832,3071545005,141969300
193730159,0000010c43fc8192,e480,3956952860,2875776887,1609035129,3939555146,2126957519,1857107273,1629631822,4080861712
467193281,0000010c43fc8165,d8ad,1444941277,2462169681,1442966976,3486245342,2762401172,1227996375,2903469002,3132358762
588905968,0000010c43fc8192,c900,928373599,3034147951,3538681086,933145869,1957162092,3644466037,935665990,662716928
589658744,0000010c43fc8192,c900,2611538806,2382011775,2680615893,2712573181,2375524203,464250355,2739929329,2150578075
590431913,0000010c43fc8192,c90f,834109668,3314416443,3751790323,3584146506,2126527920,3475126103,1377069632,3269988480
591854552,0000010c43fc8192,c909,3907026200,469097215,1064167339,1130179067,455853075,2296209135,342507550,24755423
591915573,0000010c43fc8192,c900,3453253335,1836461167,3547069694,933145869,1957161987,2427898321,635921040,3683835970
592114468,0000010c43fc8192,c909,465024755,1089133111,3705141756,1866291738,3914323975,1594997348,4016120373,2582122624
592342816,0000010c43fc8192,c900,834370415,3765792027,4016831742,933145869,1957161987,3337009913,1089129915,2719112101
593211037,0000010c43fc8192,c90f,1623649901,3698342582,2381805054,2132528982,2260358134,32361954,2227885277,2425543945
593952520,0000010c43fc8192,c90f,2553396091,3072069293,2742934911,2680547243,1130179067,462875513,2178263485,671142153
594046857,0000010c43fc8192,c909,3247299547,3101717869,468708297,4279738029,225748972,1304295020,52803348,1068645376
594144666,0000010c43fc8192,cc87,104297325,3816936885,1874571047,4234082996,902995888,3677182125,470706799,105400686
594770555,0000010c43fc8192,c90f,3859574502,1536034646,3518951100,2683402730,3503770238,3931680129,673012379,4068478224
594963369,0000010c43fc8192,c900,2268558189,3816936884,1874571251,4175329972,902995888,3182610150,3800159657,26350171
595106200,0000010c43fc8192,e480,3956952860,2875776887,1609035129,3939555146,2126957519,1857107273,1629631822,4080861712
595701774,0000010c43fc8192,c90f,3859574502,1849171291,1459346175,1066127190,2260358134,462875623,1969909214,1231985916
595781111,0000010c43fc8192,c90f,1623649901,3816936885,1874440179,4175329972,902995888,2379211486,2572852155,153997471
596450868,0000010c43fc8192,c909,465024755,1089133111,3705141756,1866291738,3914323975,1594997348,4016120373,2582122624
596647220,0000010c43fc8192,c900,834370415,3765792027,4016831742,933145869,1957161987,3337009913,1089129915,2719112101
597508469,0000010c43fc8192,c90f,1623649901,3698342582,2381805054,2132528982,2260358134,32361954,2227885277,2425543945
598247823,0000010c43fc8192,cc87,104296301,3338906472,3749404239,4173133160,1805991776,4214634273,3336733141,3486253081
598336571,0000010c43fc8192,c909,3247299547,3101717869,468708297,4279738029,225748972,1304295020,52803348,1068645376
599058582,0000010c43fc8192,c90f,3859574502,1536034646,3518951100,2683402730,3503770238,1319471832,3071545005,141969300
599482722,0000010c43fc8192,e480,3956952860,2875776887,1609035129,3939555146,2126957519,1857107273,1629631822,4080861712
872518870,0000010c43fc8165,d8ad,1444941277,2462169681,1442966976,3486245342,2762401172,1227996375,2903469002,3132358762
993473481,0000010c43fc8192,c900,928373599,3034147951,3538681086,933145869,1957162092,3644466037,935665990,662716928
994221060,0000010c43fc8192,c900,2611538806,2382011775,2680615893,2712573181,2375524203,464250355,2739929329,2150578075
994987952,0000010c43fc8192,c90f,834109668,3314416443,3751790323,3584146506,2126527920,3475126103,1377069632,3269988480
995060231,0000010c43fc8192,c900,2611539375,1836473115,4105895743,2380770115,1563032320,3128811877,3870853578,3167849978
995731873,0000010c43fc8192,c900,3874110315,3065714231,3925212799,466572934,3126064694,3574295709,4107434978,480
996218528,0000010c43fc8192,c90f,968527543,1491053271,4194070333,1511713103,3638131190,3069809350,594803151,144293074
996400747,0000010c43fc8192,c909,3907026200,469097215,1064167339,1130179067,455853075,2296209135,342507550,24755423
996461374,0000010c43fc8192,c900,3453253335,1836461167,3547069694,933145869,1957161987,2427898321,635921040,3683835970
996667814,0000010c43fc8192,c909,465024755,1089133111,3705141756,1866291738,3914323975,1594997348,4016120373,2582122624
996894320,0000010c43fc8192,c900,834370415,3765792027,4016831742,933145869,1957161987,3337009913,1089129915,2719112101
997657656,0000010c43fc8192,c90f,3859574502,1849171291,1190918911,1066264491,1130179067,3405838055,1534148842,3221328402
997756298,0000010c43fc8192,c90f,1623649901,3698342582,2381805054,2132528982,2260358134,32361954,2227885277,2425543945
998491361,0000010c43fc8192,c90f,2553396091,3072069293,2742934911,2680547243,1130179067,462875513,2178263485,671142153
998584891,0000010c43fc8192,c909,3247299547,3101717869,468708297,4279738029,225748972,1304295020,52803348,1068645376
998681802,0000010c43fc8192,cc87,104297325,3816936885,1874571047,4234082996,902995888,3677182125,470706799,105400686
999223077,0000010c43fc8192,cc87,2199632310,2449954513,3204379215,4175329972,902995888,3009638968,2177715675,1112241696
999302249,0000010c43fc8192,c90f,3859574502,1536034646,3518951100,2683402730,3503770238,3931680129,673012379,4068478224
999493682,0000010c43fc8192,c900,2268558189,3816936884,1874571251,4175329972,902995888,3182610150,3800159657,26350171
999635284,0000010c43fc8192,e480,3956952860,2875776887,1609035129,3939555146,2126957519,1857107273,1629631822,4080861712
1000227276,0000010c43fc8192,c90f,3859574502,1849171291,1459346175,1066127190,2260358134,462875623,1969909214,1231985916
1000305923,0000010c43fc8192,c90f,1623649901,3816936885,1874440179,4175329972,902995888,2379211486,2572852155,153997471
1000976193,0000010c43fc8192,c909,465024755,1089133111,3705141756,1866291738,3914323975,1594997348,4016120373,2582122624
1001171318,0000010c43fc8192,c900,834370415,3765792027,4016831742,933145869,1957161987,3337009913,1089129915,2719112101
1001927877,0000010c43fc8192,c90f,3859574502,1849171291,1190918911,1066264491,1130179067,3405838055,1534148842,3221328402
1002026031,0000010c43fc8192,c90f,1623649901,3698342582,2381805054,2132528982,2260358134,32361954,2227885277,2425543945
1002759042,0000010c43fc8192,cc87,104296301,3338906472,3749404239,4173133160,1805991776,4214634273,3336733141,3486253081
1002847039,0000010c43fc8192,c909,3247299547,3101717869,468708297,4279738029,225748972,1304295020,52803348,1068645376
1003563010,0000010c43fc8192,c90f,3859574502,1536034646,3518951100,2683402730,3503770238,1319471832,3071545005,141969300
1003821256,0000010c43fc8192,c900,2268558189,3816936884,1874571251,4175329972,902995888,3182610150,3800159657,26350171
1003983745,0000010c43fc8192,e480,3956952860,2875776887,1609035129,3939555146,2126957519,1857107273,1629631822,4080861712
1004630811,0000010c43fc8192,c90f,3859574502,1849171291,1459346175,1066127190,2260358134,462875623,1969909214,1231985916
1004716219,0000010c43fc8192,c90f,1623649901,3816936885,1874440179,4175329972,902995888,2379211486,2572852155,153997471
