path,rel,value,mode,target,pack,delta,ok,duration,video_codec,audio_codec,width,height,stream_count,outfile,field,pack_hex,target_hex,value_hex
FMV\FUJ2.PSS,48,910968133,swap16_minus_20000000,625292876,625292503,373,True,10.36,,,0.0,0.0,1,/mnt/data/stage71_bundle/probes/FMV_FUJ2.PSS_48_swap16_minus_20000_254534D7.pss,post_u32_p48,0x254534D7,0x2545364C,0x364C4545
FMV\FUJ2.PSS,16,1748888002,minus_50000000,406710722,406710300,422,True,88556.368467,mpeg1video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_FUJ2.PSS_16_minus_50000000_183DE81C.pss,post_u32_p16,0x183DE81C,0x183DE9C2,0x683DE9C2
FMV\GO3.PSS,-20,937061153,direct,937061153,937061153,0,True,17.56,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_GO3.PSS_-20_direct_37DA6B21.pss,pre_u32_m20,0x37DA6B21,0x37DA6B21,0x37DA6B21
FMV\GO3.PSS,-28,759518017,swap16_minus_50000000,54603077,54602996,81,True,71406.616256,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_GO3.PSS_-28_swap16_minus_50000_03412CF4.pss,pre_u32_m28,0x03412CF4,0x03412D45,0x2D455341
FMV\GO3.PSS,44,815667561,swap16,426324126,426323967,159,True,,mpeg2video,,0.0,0.0,1,/mnt/data/stage71_bundle/probes/FMV_GO3.PSS_44_swap16_19692FFF.pss,post_u32_p44,0x19692FFF,0x1969309E,0x309E1969
FMV\GO3.PSS,32,2349628472,swap16_minus_40000000,1010338828,1010338375,453,True,23815.482078,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_GO3.PSS_32_swap16_minus_40000_3C388A47.pss,post_u32_p32,0x3C388A47,0x3C388C0C,0x8C0C7C38
FMV\GO3.PSS,-28,759518017,minus_20000000,222647105,222646633,472,True,95413.8128,,mp3,0.0,0.0,5,/mnt/data/stage71_bundle/probes/FMV_GO3.PSS_-28_minus_20000000_0D455169.pss,pre_u32_m28,0x0D455169,0x0D455341,0x2D455341
FMV\GO3.PSS,-48,16108,direct,16108,16593,485,True,21.92,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_GO3.PSS_-48_direct_000040D1.pss,pre_u32_m48,0x000040D1,0x00003EEC,0x00003EEC
FMV\MASTER03.PSS,-16,1811953707,swap16,942369792,942369573,219,True,18.52,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_MASTER03.PSS_-16_swap16_382B6B25.pss,pre_u32_m16,0x382B6B25,0x382B6C00,0x6C00382B
FMV\MASTER03.PSS,-48,1230265431,swap16_minus_20000000,1012353364,1012353607,243,True,,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_MASTER03.PSS_-48_swap16_minus_20000_3C574A47.pss,pre_u32_m48,0x3C574A47,0x3C574954,0x49545C57
FMV\MASTER03.PSS,-48,1230265431,minus_40000000,156523607,156523183,424,True,17.14,mpeg1video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_MASTER03.PSS_-48_minus_40000000_09545AAF.pss,pre_u32_m48,0x09545AAF,0x09545C57,0x49545C57
FMV\MASTER03.PSS,-48,1230265431,minus_10000000,961829975,961830456,481,True,18.56,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_MASTER03.PSS_-48_minus_10000000_39545E38.pss,pre_u32_m48,0x39545E38,0x39545C57,0x49545C57
FMV\MASTER03.PSS,-44,1397050452,minus_20000000,860179540,860178995,545,True,13.72,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_MASTER03.PSS_-44_minus_20000000_33454A33.pss,pre_u32_m44,0x33454A33,0x33454C54,0x53454C54
FMV\MASTER03.PSS,36,32256093,swap16_minus_30000000,6095340,6095917,577,True,,mpeg1video,mp2,512.0,256.0,2,/mnt/data/stage71_bundle/probes/FMV_MASTER03.PSS_36_swap16_minus_30000_005D042D.pss,post_u32_p36,0x005D042D,0x005D01EC,0x01EC305D
