marker_offset_hex,tag,next_marker_hex,span_len,clear_count,path_count,first_path_or_clear
0x260d,n,0x2641,52,1,1,SPAIN_S1\ROAD1A-TGA.GXI
0x2641,l,0x268a,73,0,0,
0x268a,l,0x26c4,58,0,0,
0x26c4,l,0x26f1,45,0,0,
0x26f1,o,0x270f,30,0,0,
0x270f,n,0x2732,35,0,0,
0x2732,o,0x2756,36,0,0,
0x2756,l,0x2787,49,0,0,
0x2787,n,0x27ad,38,1,1,TURKEY1\|
0x27ad,n,0x27d2,37,0,0,
0x27d2,o,0x27ef,29,0,0,
0x27ef,o,0x280d,30,0,0,
0x280d,n,0x282e,33,0,0,
0x282e,n,0x284f,33,0,0,
0x284f,n,0x287b,44,1,1,XTURES\FOT
0x287b,n,0x28a3,40,1,1,S4.XML
0x28a3,n,0x28c5,34,0,0,
0x28c5,n,0x28e4,31,0,0,
0x28e4,n,0x2907,35,0,0,
0x2907,n,0x2929,34,0,0,
0x2929,l,0x2956,45,0,0,
0x2956,l,0x2980,42,0,0,
0x2980,n,0x29a1,33,0,0,
0x29a1,l,0x29c2,33,0,0,
0x29c2,n,0x29dd,27,0,0,
0x29dd,n,0x2a13,54,1,0,iih0HC|4n
0x2a13,o,0x2a40,45,0,0,
0x2a40,n,0x2a5d,29,0,0,
0x2a5d,n,0x2a79,28,0,0,
0x2a79,l,0x2a99,32,0,0,
0x2a99,n,0x2b17,126,2,2,1\RUBBE)
0x2b17,l,0x2b35,30,0,0,
0x2b35,n,0x2b5a,37,1,0,"""HTv"
0x2b5a,n,0x2b79,31,0,0,
0x2b79,n,0x2b98,31,0,0,
0x2b98,l,0x2bbc,36,0,0,
0x2bbc,n,0x2be0,36,0,0,
0x2be0,n,0x2c0b,43,0,0,
0x2c0b,n,0x2c2a,31,0,0,
0x2c2a,n,0x2c84,90,0,0,
0x2c84,n,0x2ccb,71,0,0,
0x2ccb,l,0x2cf5,42,0,0,
0x2cf5,n,0x2d10,27,1,0,KF#?
0x2d10,n,0x2d30,32,0,0,
0x2d30,n,0x2d4b,27,0,0,
0x2d4b,n,0x2d6c,33,0,0,
0x2d6c,n,0x2d8b,31,0,0,
0x2d8b,n,0x2dab,32,0,0,
0x2dab,n,0x2df4,73,0,0,
0x2df4,n,0x2e3e,74,0,0,
0x2e3e,n,0x2e57,25,0,0,
0x2e57,l,0x2e94,61,1,0,:Bd=
0x2e94,n,0x2eb6,34,0,0,
0x2eb6,n,0x2ed9,35,0,0,
0x2ed9,o,0x2ef5,28,0,0,
0x2ef5,n,0x2f0e,25,0,0,
0x2f0e,n,0x2f28,26,0,0,
0x2f28,n,0x2f51,41,0,0,
0x2f51,n,0x2f6e,29,0,0,
0x2f6e,n,0x2f93,37,0,0,
0x2f93,n,0x2fad,26,0,0,
0x2fad,n,0x2fcc,31,0,0,
0x2fcc,n,0x2fe9,29,0,0,
0x2fe9,n,0x3009,32,1,0,NEWHUD_00$
0x3009,n,0x3032,41,1,0,"CFU"""
0x3032,n,0x3067,53,1,0,"""~-Aj>"
0x3067,n,0x3081,26,0,0,
0x3081,n,0x30b4,51,0,0,
0x30b4,n,0x30ce,26,0,0,
0x30ce,n,0x30ee,32,0,0,
0x30ee,n,0x3130,66,0,0,
0x3130,n,0x314c,28,0,0,
0x314c,n,0x3170,36,0,0,
0x3170,n,0x3199,41,0,0,
0x3199,n,0x31b2,25,0,0,
0x31b2,l,0x31cf,29,0,0,
0x31cf,n,0x31ed,30,0,0,
0x31ed,l,0x320d,32,0,0,
0x320d,l,0x3231,36,0,0,
0x3231,n,0x3252,33,0,0,
0x3252,n,0x328f,61,0,0,
0x328f,n,0x32ab,28,0,0,
0x32ab,n,0x32c8,29,0,0,
0x32c8,n,0x32de,22,0,0,
0x32de,l,0x330d,47,0,0,
0x330d,n,0x3331,36,0,0,
0x3331,n,0x3383,82,1,0,"D|,n"
0x3383,n,0x33a8,37,0,0,
0x33a8,o,0x33d3,43,0,0,
0x33d3,n,0x340f,60,0,0,
0x340f,n,0x3446,55,0,0,
0x3446,n,0x3485,63,0,0,
0x3485,l,0x3520,155,1,1,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x3520,l,0x3541,33,0,0,
0x3541,o,0x3567,38,0,0,
0x3567,o,0x358b,36,0,0,
0x358b,n,0x35ae,35,0,0,
0x35ae,l,0x35ea,60,0,0,
0x35ea,l,0x3622,56,1,1,S\PS2\RACEDETAILS2.XML
0x3622,l,0x3644,34,0,0,
0x3644,o,0x367c,56,0,0,
0x367c,n,0x3695,25,1,0,V?r?
0x3695,l,0x36b7,34,0,0,
0x36b7,o,0x3721,106,0,0,
0x3721,l,0x375b,58,1,0,?l=n
0x375b,n,0x37a1,70,1,0,y>E)
0x37a1,n,0x37c2,33,0,0,
0x37c2,n,0x37e3,33,0,0,
0x37e3,l,0x380c,41,0,0,
0x380c,n,0x3829,29,0,0,
0x3829,n,0x384a,33,0,0,
0x384a,l,0x3870,38,0,0,
0x3870,n,0x3897,39,0,0,
0x3897,n,0x38b5,30,0,0,
0x38b5,n,0x38d2,29,0,0,
0x38d2,n,0x38f2,32,0,0,
0x38f2,n,0x3908,22,0,0,
0x3908,l,0x3946,62,0,0,
0x3946,n,0x39b5,111,0,0,
0x39b5,n,0x39e3,46,1,1,"""E""\$n"
0x39e3,n,0x3a04,33,0,0,
0x3a04,n,0x3a25,33,0,0,
0x3a25,n,0x3a45,32,0,0,
0x3a45,n,0x3a60,27,0,0,
0x3a60,n,0x3a81,33,0,0,
0x3a81,n,0x3a9c,27,0,0,
0x3a9c,n,0x3ac8,44,0,0,
0x3ac8,l,0x3aea,34,0,0,
0x3aea,n,0x3b07,29,0,0,
0x3b07,n,0x3b36,47,0,0,
0x3b36,l,0x3b55,31,0,0,
0x3b55,l,0x3b85,48,0,0,
0x3b85,l,0x3b9e,25,0,0,
0x3b9e,l,0x3bb8,26,0,0,
0x3bb8,l,0x3bd1,25,0,0,
0x3bd1,l,0x3c03,50,0,0,
0x3c03,l,0x3c4d,74,0,0,
0x3c4d,l,0x3c66,25,0,0,
0x3c66,l,0x3cae,72,0,0,
0x3cae,l,0x3cc7,25,0,0,
0x3cc7,l,0x3ce0,25,0,0,
0x3ce0,l,0x3d10,48,0,0,
0x3d10,l,0x3d2b,27,0,0,
0x3d2b,l,0x3d44,25,0,0,
0x3d44,l,0x3d64,32,0,0,
0x3d64,n,0x3dad,73,0,0,
0x3dad,n,0x3dd3,38,1,0,hAuEU'
0x3dd3,n,0x3e1a,71,0,0,
0x3e1a,n,0x3e32,24,0,0,
0x3e32,n,0x3e4a,24,0,0,
0x3e4a,n,0x3e8f,69,0,0,
0x3e8f,n,0x3ea6,23,0,0,
0x3ea6,l,0x3ecd,39,0,0,
0x3ecd,n,0x3f0a,61,0,0,
0x3f0a,l,0x3f49,63,0,0,
0x3f49,n,0x3f7c,51,1,0,"o>""<@n"
0x3f7c,l,0x3fd5,89,1,1,"D""\&l"
0x3fd5,l,0x3ff9,36,0,0,
0x3ff9,n,0x4018,31,0,0,
0x4018,l,0x4031,25,0,0,
0x4031,n,0x404f,30,0,0,
0x404f,l,0x408b,60,0,0,
0x408b,l,0x40b5,42,0,0,
0x40b5,n,0x4128,115,0,0,
0x4128,l,0x4147,31,0,0,
0x4147,n,0x4187,64,0,0,
0x4187,n,0x41ab,36,0,0,
0x41ab,n,0x422f,132,2,0,%_M2#
0x422f,n,0x42ab,124,2,2,VEMENT-TGA.GXI
0x42ab,o,0x42f9,78,0,0,
0x42f9,n,0x4324,43,0,0,
0x4324,o,0x434f,43,0,0,
0x434f,n,0x437f,48,0,0,
0x437f,l,0x43a3,36,0,0,
0x43a3,n,0x43d8,53,1,0,FRd5
0x43d8,n,0x43f8,32,0,0,
0x43f8,o,0x441a,34,0,0,
0x441a,n,0x444e,52,0,0,
0x444e,l,0x4476,40,0,0,
0x4476,n,0x449c,38,1,0,i=Gy?
0x449c,n,0x44ba,30,0,0,
0x44ba,n,0x44f0,54,0,0,
0x44f0,n,0x4513,35,1,0,DRYLAND'
0x4513,n,0x4537,36,0,0,
0x4537,n,0x455f,40,1,1,S2\BED TO MUDO
0x455f,n,0x457d,30,0,0,
0x457d,n,0x45a3,38,0,0,
0x45a3,n,0x45be,27,0,0,
0x45be,o,0x45e2,36,0,0,
0x45e2,l,0x462c,74,0,0,
0x462c,n,0x464a,30,0,0,
0x464a,o,0x4663,25,0,0,
0x4663,l,0x4687,36,0,0,
0x4687,n,0x46aa,35,0,0,
0x46aa,n,0x46c6,28,0,0,
0x46c6,l,0x46e8,34,0,0,
0x46e8,n,0x4708,32,0,0,
0x4708,l,0x4727,31,0,0,
0x4727,n,0x4791,106,0,0,
0x4791,n,0x47aa,25,0,0,
0x47aa,l,0x47ce,36,0,0,
0x47ce,l,0x4809,59,0,0,
0x4809,l,0x4834,43,0,0,
0x4834,l,0x4864,48,0,0,
0x4864,n,0x4891,45,0,0,
0x4891,n,0x48b4,35,0,0,
0x48b4,l,0x48e9,53,0,0,
0x48e9,n,0x4907,30,0,0,
0x4907,l,0x4944,61,2,2,.XML
0x4944,n,0x496f,43,0,0,
0x496f,l,0x499a,43,0,0,
0x499a,n,0x49b3,25,0,0,
0x49b3,n,0x49e5,50,0,0,
0x49e5,n,0x4a05,32,0,0,
0x4a05,o,0x4a24,31,0,0,
0x4a24,n,0x4a41,29,0,0,
0x4a41,l,0x4a68,39,0,0,
0x4a68,l,0x4aaf,71,0,0,
0x4aaf,o,0x4acf,32,0,0,
0x4acf,n,0x4b06,55,0,0,
0x4b06,n,0x4b1f,25,0,0,
0x4b1f,l,0x4b46,39,0,0,
0x4b46,l,0x4bee,168,0,0,
0x4bee,n,0x4c19,43,0,0,
0x4c19,n,0x4c33,26,0,0,
0x4c33,n,0x4c56,35,0,0,
0x4c56,n,0x4c71,27,0,0,
0x4c71,l,0x4cb1,64,0,0,
0x4cb1,n,0x4d67,182,1,0,C|#n
0x4d67,n,0x4dbc,85,0,0,
0x4dbc,l,0x4de6,42,0,0,
0x4de6,n,0x4e06,32,0,0,
0x4e06,o,0x4e26,32,0,0,
0x4e26,l,0x4e50,42,0,0,
0x4e50,n,0x4e69,25,0,0,
0x4e69,n,0x4eb6,77,0,0,
0x4eb6,n,0x4f17,97,1,0,sAdLcl
0x4f17,n,0x4f34,29,0,0,
0x4f34,l,0x4f57,35,0,0,
0x4f57,l,0x4f79,34,0,0,
0x4f79,l,0x4fe7,110,0,0,
0x4fe7,n,0x5003,28,0,0,
0x5003,n,0x5023,32,0,0,
0x5023,l,0x504a,39,0,0,
0x504a,n,0x5087,61,0,0,
0x5087,l,0x50c9,66,0,0,
0x50c9,l,0x510c,67,1,1,J?H\$n
0x510c,n,0x5127,27,0,0,
0x5127,l,0x5194,109,1,1,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x5194,l,0x51d4,64,0,0,
0x51d4,l,0x5207,51,0,0,
0x5207,l,0x5239,50,0,0,
0x5239,o,0x5254,27,0,0,
0x5254,n,0x528b,55,0,0,
0x528b,l,0x52ae,35,0,0,
0x52ae,n,0x52ce,32,0,0,
0x52ce,l,0x52f1,35,0,0,
0x52f1,o,0x5310,31,0,0,
0x5310,n,0x532e,30,0,0,
0x532e,o,0x5358,42,0,0,
0x5358,n,0x5379,33,0,0,
0x5379,l,0x53d1,88,1,1,W2.CFL
0x53d1,n,0x53ea,25,0,0,
0x53ea,l,0x5437,77,1,1,FMV\FUJ3.PSS
0x5437,n,0x54c7,144,3,2,HG\[n
0x54c7,n,0x5510,73,1,0,F|dn
0x5510,n,0x552c,28,0,0,
0x552c,n,0x554f,35,0,0,
0x554f,n,0x5572,35,0,0,
0x5572,n,0x5590,30,0,0,
0x5590,n,0x55b8,40,0,0,
0x55b8,n,0x55d5,29,1,0,)@f:
0x55d5,n,0x5617,66,1,0,iiiQ]{>|Hl
0x5617,n,0x5630,25,0,0,
0x5630,n,0x564d,29,0,0,
0x564d,n,0x5667,26,0,0,
0x5667,n,0x5685,30,0,0,
0x5685,n,0x56b2,45,0,0,
0x56b2,l,0x56da,40,0,0,
0x56da,n,0x56f6,28,0,0,
0x56f6,n,0x5712,28,0,0,
0x5712,l,0x573d,43,1,0,EG#=
0x573d,l,0x576d,48,0,0,
0x576d,n,0x57c7,90,0,0,
0x57c7,n,0x57e5,30,0,0,
0x57e5,l,0x580c,39,0,0,
0x580c,n,0x5829,29,0,0,
0x5829,n,0x5849,32,0,0,
0x5849,l,0x5867,30,0,0,
0x5867,l,0x58b0,73,0,0,
0x58b0,n,0x58f0,64,0,0,
0x58f0,n,0x590c,28,0,0,
0x590c,l,0x594c,64,0,0,
0x594c,n,0x59ac,96,0,0,
0x59ac,n,0x59c2,22,0,0,
0x59c2,l,0x59ec,42,0,0,
0x59ec,n,0x5a05,25,0,0,
0x5a05,n,0x5a23,30,0,0,
0x5a23,l,0x5a40,29,0,0,
0x5a40,l,0x5a5e,30,0,0,
0x5a5e,l,0x5a81,35,1,0,",3Ay>"
0x5a81,n,0x5a9b,26,1,0,EF??
0x5a9b,n,0x5ad4,57,0,0,
0x5ad4,n,0x5afd,41,1,1,S3FLIP.XML
0x5afd,n,0x5b18,27,0,0,
0x5b18,l,0x5b74,92,0,0,
0x5b74,n,0x5b93,31,0,0,
0x5b93,n,0x5bad,26,0,0,
0x5bad,l,0x5bf1,68,0,0,
0x5bf1,n,0x5c10,31,0,0,
0x5c10,n,0x5c2d,29,0,0,
0x5c2d,l,0x5c4e,33,0,0,
0x5c4e,n,0x5c88,58,0,0,
0x5c88,l,0x5d57,207,1,1,DND)\Wn
0x5d57,l,0x5d78,33,0,0,
0x5d78,l,0x5d9b,35,0,0,
0x5d9b,n,0x5dbb,32,0,0,
0x5dbb,n,0x5ddb,32,0,0,
0x5ddb,n,0x5dfe,35,0,0,
0x5dfe,n,0x5e20,34,0,0,
0x5e20,n,0x5e36,22,0,0,
0x5e36,n,0x5e6e,56,0,0,
0x5e6e,l,0x5e87,25,0,0,
0x5e87,l,0x5ec4,61,0,0,
0x5ec4,n,0x5f5c,152,0,0,
0x5f5c,l,0x5fa4,72,1,0,@YL8l
0x5fa4,l,0x5fcf,43,0,0,
0x5fcf,l,0x5ff4,37,0,0,
0x5ff4,l,0x601a,38,1,0,"6>M,"
0x601a,n,0x603b,33,0,0,
0x603b,n,0x6055,26,0,0,
0x6055,l,0x6081,44,0,0,
0x6081,n,0x60f5,116,1,1,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x60f5,l,0x6149,84,2,1,1.PSM
0x6149,o,0x618e,69,1,0,MISC
0x618e,l,0x61b7,41,0,0,
0x61b7,l,0x61db,36,0,0,
0x61db,l,0x6211,54,2,1,.PSB
0x6211,l,0x6234,35,0,0,
0x6234,o,0x6256,34,0,0,
0x6256,n,0x627a,36,0,0,
0x627a,n,0x62a5,43,0,0,
0x62a5,n,0x62c3,30,0,0,
0x62c3,l,0x62f0,45,0,0,
0x62f0,l,0x6314,36,0,0,
0x6314,o,0x6334,32,1,0,iF$5>g;
0x6334,n,0x6355,33,0,0,
0x6355,n,0x637a,37,0,0,
0x637a,n,0x6393,25,0,0,
0x6393,o,0x63e1,78,0,0,
0x63e1,o,0x644a,105,1,0,sA7&
0x644a,n,0x6464,26,0,0,
0x6464,l,0x649a,54,1,0,7 E| n
0x649a,n,0x64ba,32,0,0,
0x64ba,l,0x64df,37,0,0,
0x64df,n,0x6534,85,1,1,S2.CFL
0x6534,l,0x6557,35,0,0,
0x6557,n,0x6579,34,0,0,
0x6579,n,0x65db,98,0,0,
0x65db,n,0x65f8,29,0,0,
0x65f8,l,0x6613,27,1,0,"""x>]>"
0x6613,n,0x6630,29,0,0,
0x6630,n,0x664b,27,0,0,
0x664b,n,0x6686,59,0,0,
0x6686,n,0x66a2,28,0,0,
0x66a2,n,0x66c3,33,0,0,
0x66c3,l,0x66e5,34,0,0,
0x66e5,l,0x670f,42,0,0,
0x670f,l,0x672e,31,0,0,
0x672e,n,0x6744,22,1,0,"b>G,2"
0x6744,l,0x6769,37,0,0,
0x6769,n,0x67c1,88,1,1,"D""\)l"
0x67c1,n,0x681d,92,1,1,.BSP
0x681d,l,0x683e,33,1,0,%@i2
0x683e,l,0x685c,30,1,0,O?{?
0x685c,n,0x689f,67,0,0,
0x689f,l,0x68e3,68,0,0,
0x68e3,l,0x693f,92,0,0,
0x693f,n,0x69e0,161,0,0,
0x69e0,n,0x6a00,32,0,0,
0x6a00,l,0x6a28,40,0,0,
0x6a28,n,0x6a53,43,0,0,
0x6a53,l,0x6a71,30,0,0,
0x6a71,n,0x6a92,33,0,0,
0x6a92,n,0x6ad3,65,1,0,;GZL'l
0x6ad3,l,0x6b4e,123,1,0,:B|fn
0x6b4e,n,0x6bbf,113,1,1,3.XML
0x6bbf,n,0x6bdb,28,0,0,
0x6bdb,l,0x6bf7,28,0,0,
0x6bf7,n,0x6c0d,22,0,0,
0x6c0d,l,0x6cac,159,1,0,i@l<l
0x6cac,n,0x6cc7,27,0,0,
0x6cc7,n,0x6d00,57,1,0,El*n
0x6d00,l,0x6d4a,74,1,1,FMV\GO2.PSS
0x6d4a,l,0x6d67,29,0,0,
0x6d67,n,0x6d87,32,0,0,
0x6d87,n,0x6dad,38,0,0,
0x6dad,l,0x6df1,68,0,0,
0x6df1,n,0x6e0f,30,0,0,
0x6e0f,l,0x6e30,33,0,0,
0x6e30,l,0x6e6c,60,0,0,
0x6e6c,n,0x6e88,28,0,0,
0x6e88,l,0x6ead,37,0,0,
0x6ead,n,0x6eee,65,1,0,;_2|
0x6eee,l,0x6f0e,32,0,0,
0x6f0e,n,0x6f4d,63,0,0,
0x6f4d,l,0x6f6e,33,0,0,
0x6f6e,n,0x6fa6,56,1,0,H5LQn
0x6fa6,l,0x7015,111,2,2,:B{\6l
0x7015,l,0x7050,59,0,0,
0x7050,l,0x7082,50,0,0,
0x7082,l,0x70bc,58,0,0,
0x70bc,o,0x70e3,39,0,0,
0x70e3,l,0x7104,33,0,0,
0x7104,n,0x7124,32,0,0,
0x7124,n,0x714b,39,0,0,
0x714b,l,0x717a,47,0,0,
0x717a,n,0x718f,21,0,0,
0x718f,l,0x71dd,78,1,1,VEHICLES\BRUNO\CAR.PSM
0x71dd,l,0x7216,57,1,0,COMMtN
0x7216,l,0x7246,48,0,0,
0x7246,o,0x7269,35,0,0,
0x7269,l,0x7288,31,0,0,
0x7288,o,0x72b7,47,0,0,
0x72b7,n,0x72d8,33,0,0,
0x72d8,o,0x72f7,31,1,0,>B}?
0x72f7,n,0x7319,34,0,0,
0x7319,l,0x7341,40,0,0,
0x7341,l,0x7368,39,0,0,
0x7368,n,0x738a,34,0,0,
0x738a,n,0x73ae,36,1,1,FONTS\v
0x73ae,n,0x73e9,59,1,0,",P@L"
0x73e9,l,0x740d,36,0,0,
0x740d,l,0x742e,33,0,0,
0x742e,l,0x7454,38,0,0,
0x7454,l,0x7479,37,0,0,
0x7479,n,0x7492,25,0,0,
0x7492,n,0x74ae,28,0,0,
0x74ae,n,0x74d0,34,0,0,
0x74d0,n,0x74fd,45,1,0,I>2o%
0x74fd,n,0x751f,34,0,0,
0x751f,n,0x754a,43,0,0,
0x754a,l,0x7568,30,0,0,
0x7568,l,0x758c,36,0,0,
0x758c,n,0x75b5,41,0,0,
0x75b5,l,0x75f8,67,0,0,
0x75f8,n,0x7613,27,0,0,
0x7613,l,0x7650,61,0,0,
0x7650,n,0x7677,39,1,1,M2.XML
0x7677,n,0x76ba,67,1,1,CLOTHBALLGXM\(2
0x76ba,l,0x76e1,39,1,0,7IGA6
0x76e1,n,0x771b,58,0,0,
0x771b,l,0x7740,37,0,0,
0x7740,l,0x779e,94,1,1,rAI\ n
0x779e,l,0x77ba,28,0,0,
0x77ba,l,0x77e5,43,0,0,
0x77e5,l,0x783a,85,1,1,.CFL
0x783a,n,0x7885,75,1,1,FMV\MICROIDS.PSS
0x7885,n,0x7900,123,1,1,S2.BSP
0x7900,n,0x7921,33,0,0,
0x7921,l,0x7946,37,1,0,"uAF"""
0x7946,n,0x7967,33,0,0,
0x7967,n,0x798d,38,1,0,iiM2kEk?
0x798d,l,0x79ae,33,0,0,
0x79ae,n,0x79cd,31,0,0,
0x79cd,n,0x79ef,34,0,0,
0x79ef,l,0x7a14,37,0,0,
0x7a14,l,0x7a3c,40,0,0,
0x7a3c,n,0x7a7c,64,0,0,
0x7a7c,l,0x7aa1,37,0,0,
0x7aa1,l,0x7ae4,67,0,0,
0x7ae4,n,0x7b22,62,0,0,
0x7b22,n,0x7b3a,24,0,0,
0x7b3a,n,0x7b7b,65,1,0,ARIAL5N
0x7b7b,l,0x7b9f,36,0,0,
0x7b9f,l,0x7be3,68,0,0,
0x7be3,n,0x7bfa,23,0,0,
0x7bfa,l,0x7c1c,34,1,0,w>6&
0x7c1c,l,0x7c3a,30,0,0,
0x7c3a,n,0x7c59,31,0,0,
0x7c59,l,0x7ca8,79,1,1,<\UN
0x7ca8,n,0x7d29,129,0,0,
0x7d29,l,0x7d6c,67,0,0,
0x7d6c,l,0x7d96,42,0,0,
0x7d96,n,0x7db3,29,0,0,
0x7db3,l,0x7dfb,72,1,0,=BL=
0x7dfb,n,0x7e3d,66,0,0,
0x7e3d,l,0x7e5c,31,0,0,
0x7e5c,l,0x7ed6,122,1,0,@GL=l
0x7ed6,l,0x7efc,38,0,0,
0x7efc,l,0x7f42,70,1,0,"zLA"""
0x7f42,l,0x7fbf,125,1,1,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x7fbf,l,0x7ffe,63,0,0,
0x7ffe,l,0x805b,93,0,0,
0x805b,l,0x8080,37,0,0,
0x8080,o,0x80be,62,0,0,
0x80be,n,0x80dd,31,0,0,
0x80dd,l,0x8105,40,0,0,
0x8105,o,0x8122,29,0,0,
0x8122,n,0x813a,24,0,0,
0x813a,n,0x8169,47,1,1,S\PS2\OPTIONS.XML
0x8169,o,0x8182,25,0,0,
0x8182,l,0x81c8,70,0,0,
0x81c8,l,0x81f1,41,0,0,
0x81f1,l,0x823d,76,0,0,
0x823d,l,0x825f,34,0,0,
0x825f,n,0x827d,30,0,0,
0x827d,l,0x82a1,36,0,0,
0x82a1,l,0x82c8,39,0,0,
0x82c8,l,0x82f5,45,0,0,
0x82f5,l,0x8319,36,0,0,
0x8319,l,0x833a,33,0,0,
0x833a,l,0x8364,42,1,1,FONTS\v
0x8364,n,0x8387,35,0,0,
0x8387,n,0x83a6,31,0,0,
0x83a6,l,0x83d4,46,0,0,
0x83d4,n,0x83f4,32,0,0,
0x83f4,l,0x840f,27,0,0,
0x840f,l,0x8434,37,0,0,
0x8434,n,0x8478,68,1,0,_S1_FLIP
0x8478,l,0x849b,35,0,0,
0x849b,l,0x84c4,41,0,0,
0x84c4,l,0x8514,80,1,0,G|Fl
0x8514,n,0x8537,35,0,0,
0x8537,n,0x854f,24,0,0,
0x854f,l,0x8572,35,0,0,
0x8572,l,0x8594,34,0,0,
0x8594,l,0x85b5,33,0,0,
0x85b5,l,0x85e0,43,0,0,
0x85e0,l,0x8622,66,1,1,_W2.PSM
0x8622,l,0x86b8,150,1,0,7>|Zl
0x86b8,l,0x86df,39,0,0,
0x86df,l,0x8757,120,1,0,E|+l
0x8757,l,0x877c,37,0,0,
0x877c,l,0x8799,29,0,0,
0x8799,n,0x87c2,41,0,0,
0x87c2,n,0x8807,69,1,1,2A;\ql
0x8807,l,0x882b,36,0,0,
0x882b,l,0x886d,66,0,0,
0x886d,n,0x888f,34,0,0,
0x888f,n,0x88a8,25,0,0,
0x88a8,l,0x88d0,40,0,0,
0x88d0,l,0x88f0,32,0,0,
0x88f0,l,0x8912,34,0,0,
0x8912,n,0x8945,51,0,0,
0x8945,n,0x898c,71,0,0,
0x898c,n,0x89aa,30,1,0,#P+-
0x89aa,n,0x89c9,31,0,0,
0x89c9,n,0x8a0d,68,0,0,
0x8a0d,l,0x8a38,43,0,0,
0x8a38,n,0x8a6f,55,1,1,BOX.PSB
0x8a6f,n,0x8a90,33,0,0,
0x8a90,l,0x8ad4,68,0,0,
0x8ad4,l,0x8af2,30,0,0,
0x8af2,l,0x8b0d,27,0,0,
