offset,kind,text,before_hex,after_hex
4924,partial_path,Y_S4\MRTRUCK ROLL)3,1025be42982000006e00b805371c019c516c630e,595f53345c4d52545255434b20524f4c4c29331580f7e2272c1522fc
4983,partial_path,3\TENT2),05d9c80346433600006e0090c224ec5c3c2c0a04,335c54454e54322992052c65ac196c1022cc499c002ecc1a659b53ac
5036,full_path,VEHICLES\ICECREAM\COMPLETE.PSM,430069db844648d37802006e00b404351c0c000f,56454849434c45535c494345435245414d5c434f4d504c4554452e50
5140,partial_path,MISC\OBJECTS\TUMBLEWEED|,4b27d60390cebc637e06081e282c002bdc010005,4d4953435c4f424a454354535c54554d424c45574545447cb9059cb5
5186,partial_path,S2\ALUMINI),9cb5093f3b0a00006c006c086c0036fc01dc3707,53325c414c554d494e4929cc0e05ce9fcb3d760200006e00902fbc10
5315,full_path,FMV\CHALL07.PSS|),06693b4af73304405c006e0084e3bceb232c240c,464d565c4348414c4c30372e5053537c2905438aed3b04c034006e00
5447,partial_path,4\F_#6(_2|,5f963f224c286e007c97bc069c1b2a4c2adc0def,345c465f2336285f327c000156454c5f28a42905f6b9f046d63d0000
5487,partial_path,2\DRYLp,f6b9f046d63d00006e000c77bc17360c04ecb403,325c4452594c70e228bc2a05dbc1a148ed1e00006e0070ae352c0527
5619,partial_path,TITLESCREEN\BG_,05a388fd47013000006e0038d5357c042b4c020c,5449544c4553435245454e5c42475f9801015f303136b01205c7da3c
5801,partial_path,W1\HAY'@,7ecec242133a00006e008cf1375c039c90ac2403,57315c4841592740030869696986ef7245a93d00006e0094cd20033c
5831,partial_path,1\RUN_OF(,69696986ef7245a93d00006e0094cd20033c1b05,315c52554e5f4f4628c81f05f3adfa474f3c00006d005420043c0a90
5944,partial_path,2\FARMON(,0405df09383e043e00006e00d8ad3c2c02ac3e05,325c4641524d4f4e28d83405843ed047421100006e00d828366c0c28
6018,full_path,\TNG\DATAPSM\COURSE\ITALY1\WALL_02-TGA.GXI,000060170000a10e0000002a0000000003000000,5c544e475c4441544150534d5c434f555253455c4954414c59315c57
6084,partial_path,SPAIN_W_FLIP\FENCE(,2245084000006c0001280d5d00610001350c010f,535041494e5f575f464c49505c46454e4345281c01056e1cd33d170a
6127,partial_path,MMONTEXTURES\KANGOOL64(,1cd33d170a00006f00ac525f790800312c020004,4d4d4f4e54455854555245535c4b414e474f4f4c36342818010669d0
6174,partial_path,_M1\VHUTd,d011e4408c3e00006f00780960361c01284c0305,5f4d315c56485554641b291c010575efe6409b3100006e0010802005
6246,partial_path,FRANCE_S2\COBBL),286001052cb00a3f4c2c00006e00ec1a3c5c010c,4652414e43455f53325c434f42424c29b4040769694113d2476a0c00
6283,partial_path,FONTS\ARIAL,040769694113d2476a0c00006e005000351c0108,464f4e54535c415249414cb400045f32345f303234a837066967a86c
6327,full_path,VEHICLES\MOONBUGGY\WHEEL.PSM,6967a86c48f01e00006e005cf6ac372fcc050015,56454849434c45535c4d4f4f4e42554747595c574845454c2e50534d
6379,partial_path,1\MRTRUCK SIDEDOORB(x,4a2d3e431800006e00540f350c01cc48bc190001,315c4d52545255434b2053494445444f4f524228780406695dd34946
6421,partial_path,TURKEY_M\NEW -,06695dd34946c13f00006e008416371c089c370a,5455524b45595f4d5c4e4557202dfc0605cbf4e848eeec01006e00dc
6454,partial_path,SCENE\ICONT\,2dfc0605cbf4e848eeec01006e00dc01317c0409,5343454e455c49434f4e545ca0090e312e43464c00696969bd54cd3d
6619,partial_path,3\MASTERLOG),05ef22fe45212900006f0074c05e3bbc0cb82408,335c4d41535445524c4f4729bc030536bf8d471d2900006e001c3535
6994,partial_path,MISC\COPDj,8d22487b1100006c006c110190ab5c002f7c1505,4d4953435c434f50446ad8008c3e059c0fb645053a00006e0068f135
7029,partial_path,2\BASEMU(,9c0fb645053a00006e0068f1352c02cc21bc6905,325c424153454d5528b4100180e24b3f7cf26f00689e60691000366c
7061,partial_path,S2\GRASS_RIGHT)l,80e24b3f7cf26f00689e60691000366c1ecc580b,53325c47524153535f5249474854296c0602cda5cc3d4c5cfa6e0074
7206,partial_path,M\HOTEL-,2f70c643e63b00006e00b437372c038c7bbc1005,4d5c484f54454c2dd0fa27440307696984e06640923a00006e00ecd3
7277,partial_path,1\ALUMINIUM'D,3e3b0a00006c0083350000002f4c03cc23ec3508,315c414c554d494e49554d274402057dec0744044000006e0014c33c
7340,partial_path,2\VILLAGE*x(,055de6783ef43800006f00ac5c6088123c3c0206,325c56494c4c4147452a78280269d44b9a467c4f6e00f4dabc58360c
7398,partial_path,M\SAND ROCK L'l,15022160ca43f95c826f00a49a5c3b2c02ac1a0a,4d5c53414e4420524f434b204c276c0401902e29417c106e00ec493c
7759,partial_path,M\DRUM)4,6916114446560f00006d0030389c168c9bdc0803,4d5c4452554d29341205dc08993f1e2900006e009cbb35cc072c4c03
7899,partial_path,FADE\BLOCK32,3505a1b12248860000006e00cc1f353c029cfb09,464144455c424c4f434b3332b01102111729482040a16e0054bc350c
7966,partial_path,"1\WHITE""",69156f353ea60a00006e00dcc535ec002b7c0604,315c574849544522fc3d29501f05f5f77841fa3c00006e00fcd13cfc
8026,partial_path,1\CARAVAN',55616c45c73400006e00ac69352c04cc12bc4e06,315c4341524156414e2710010558c4d644802c00006e00e4233c0c01
8295,partial_path,TEST\BACKDROP_01$08,0669c405f347231900006e005008bc1b3c2c010d,544553545c4241434b44524f505f303124303805465011494dab0000
8570,fragment,_S4.BSP,834297c513006e006c5a3c1c01cd2c342480540f,5f53342e4253500069695c57773e3b2900006e00f8793c0c01ac1104
8598,partial_path,2\TENT0),69695c57773e3b2900006e00f8793c0c01ac1104,325c54454e5430290c0d059d271848711c00006e0038ad359c1726ed
8683,partial_path,OBJECTS\DINGHYS\BLUE,f82348ed0500006c006e7960ba319c068cdd0002,4f424a454354535c44494e474859535c424c5545ac0123603b046969
8761,partial_path,W\SHRUBTRIG(,d21794478c0802400000bc81ac2c361c01cc7208,575c534852554254524947281c0b0571705f43781121006e005411bc
9763,full_path,SPAIN_S1\ROAD1A-TGA.GXI,6e00c8803c5c0e110000a10e0000ac0e0000000e,535041494e5f53315c524f414431412d5447412e475849004ee90a48
9810,partial_path,\TNG\DATAPSM\FRONTEND\NEW\TITLESCREEN|,48f01a00006c0001b4155d006000001703000000,5c544e475c4441544150534d5c46524f4e54454e445c4e45575c5449
9884,partial_path,COURSE\ITALY1\I2A_GRASSROCK'`,f83c00006c0005b8f05c00c4b15c002f3c010009,434f555253455c4954414c59315c4932415f4752415353524f434b27
10011,partial_path,FRANCE1\WHEEL),0669ad5f353e680f00006e00cc4835cc04cc1c0a,4652414e4345315c574845454c291001052e4d8142563a00006f00fc
10085,partial_path,FONTS\ARIALn/IC,9dd347160900006c00038c635d00fcb331ac0408,464f4e54535c415249414c6e2f4943ac01045f32345f303135803805
10206,partial_path,2\WA\,69698f61f941bc2b00006f002c325f2003cc0401,325c57415c0827580206699108c3420c3e00006f0094a25c20020d01
10263,partial_path,MISC\GO\GO_001,18010669787f2348690800006e00485d352c020b,4d4953435c474f5c474f5f3030319c2b05d306a340693d00006e00f4
10333,partial_path,XTURES\FOT,31e0ce3d6f1e00006e0064a1373e014d4d647806,5854555245535c464f540005544752494c4c3634294c03059ed10449
10373,partial_path,SCENE\RACETEST,294c03059ed10449ecb400006e00fc37312c010b,5343454e455c5241434554455354bc770c53342e584d4c0015f0f945
10390,fragment,S4.XML,2c010b5343454e455c5241434554455354bc770c,53342e584d4c0015f0f945d93e00006e0034e0353c04cc627c450545
10417,partial_path,EY3\BOAT(,15f0f945d93e00006e0034e0353c04cc627c4505,4559335c424f415428c408076969adf6f6410d2900006e00948235cc
10451,partial_path,S2\ROOF),adf6f6410d2900006e00948235cc08cc08ac2304,53325c524f4f46290c0305e0584b3f900900006e00d831310c037c99
10484,partial_path,_S2\GLASS',4b3f900900006e00d831310c037c99cc08ac7306,5f53325c474c415353271401053e23eb3d772500006e0028ae372c03
10597,partial_path,HUD\PACENOTES_010,7c1c48050700006c0003acff5c00c4a6317c0f0e,4855445c504143454e4f5445535f303130884e066985d50443a93f00
10755,partial_path,1\FENC+\,05036969683048437c346e00a499ac083bac0603,315c46454e432b5c180593cac0420d2600006f0028165e20026e1153
10944,partial_path,1\RUBBE),046969c9e77245bd4c686e0074463c1c0cac9404,315c5255424245290021058cc2df475c6501006e00c45f350c012b5c
10975,full_path,CUPS\CUP_FUJSEM.PSM,8cc2df475c6501006e00c45f350c012b5c040009,435550535c4355505f46554a53454d2e50534d0069691fb510481d5c
11246,partial_path,S3\MRTRUD,d5533742501700006e0048ae358c04cc09aca205,53335c4d5254525544090453494445444f4f29b80a06697594944709
11289,partial_path,_W\TENT)|,75949447093600006e00944235bc0adc09ac5e04,5f575c54454e54297c1505e1872348cd0600006e00e0c7352c109d36
11341,partial_path,_M\S_LIGHT)$),a02c021e4505442c5cdd6e00701b3c2c039cb207,5f4d5c535f4c49474854292429046969bad84e444d5c0f6c0003d80a
11484,partial_path,CLOTHBALLGXM\FUR,48077b00006c0003dc715d00c89d318c038c2c0d,434c4f544842414c4c47584d5c465552ac5905383cc045112e00006e
11551,partial_path,"M\QUAD ,X*",ef4b46233f00006e00386fac192f7c0d2cac0804,4d5c51554144202c582a0533596a45cf0c00006e00f4ab3c2c02bc35
11640,partial_path,3\CARAVAN'H,0669d224fb45b83400006e00b49b3c4c02bc2306,335c4341524156414e274802057afdc142083600006e00c86e373c02
11673,partial_path,W1\FARM(,7afdc142083600006e00c86e373c029c50ac7304,57315c4641524d2898070669326903431b3a00006e0044d23c1c02cc
11703,partial_path,2\HA(,0669326903431b3a00006e0044d23c1c02cc0801,325c484128801008696969292378480e2103006e002801359c060006
11731,partial_path,VEHICLES\PAJERO\COMPLETE,696969292378480e2103006e002801359c060006,56454849434c45535c50414a45524f5c434f4d504c455445dccf05ec
11935,partial_path,S3\VHUTWINDOW',742805da913a42643d00006e00e0982003dc070a,53335c5648555457494e444f5727880405b4d36f450f2900006e001c
11970,partial_path,1\MASTERLOGO',0405b4d36f450f2900006e001c213c7c04bc3609,315c4d41535445524c4f474f27180106697c3d083fd00c00006f005c
12218,partial_path,3\PINUS)H,05bf409a4068c800006e00d8a0355c022acc0404,335c50494e555329481306693e4ca346a81d00006e00847e3c1c08ac
12571,partial_path,3\BED TO MU),f84522fc406c000300905d000cbc38bc47ac0908,335c42454420544f204d5529d4110574c2ed3d9e0400006e007c7f3c
12604,partial_path,1\CTYR*,110574c2ed3d9e0400006e007c7f3c4c0eac8e03,315c435459522ab035055e6d4f44b02d00006e00c47d3c8c049d345f
12762,partial_path,2\CONCRET*,6c330519369244232800006e000c8420049c0406,325c434f4e435245542abc05053d5f264579f700006c000234775f00
12828,partial_path,1\I_MHOUSEW*,3a22408d3d00006c0003d02660004cd13d5c0308,315c495f4d484f555345572ac00f05a2971348182300006e00dcee35
13117,partial_path,1\VILLA*,0669df982640a83a00006e00f05b3c7c039c2504,315c56494c4c412ab01402dc8b9a46ab4c2e6e00e4ae3cac26aca522
13238,partial_path,ANIMALS\BURDYBROWN),639a1d487f0200006f00208660345c2d231c3f0f,414e494d414c535c425552445942524f574e2988050669d535e33dbf
13542,full_path,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI,0d00000554060000fc055d006000002e03000000,5c544e475c4441544150534d5c434f555253455c4652414e43455f4d
13617,partial_path,1\ROAD*,3ee63e00006c0005d4b05d00f8a35c003c2c0103,315c524f41442a0c0105d26d9d40823e00006f00b8d65f7811370c01
13646,partial_path,ITALY_M1\CRATE1',05d26d9d40823e00006f00b8d65f7811370c010c,4954414c595f4d315c43524154453127180105ee8807449d0400006f
13682,partial_path,SPAIN_S1\CTYRE',180105ee8807449d0400006f00b830603b0c010b,535041494e5f53315c4354595245270801066986b1713e381700006e
13758,partial_path,FRONTEND\NEW\TITLESCREEN\BG_,fe47f03400006c000328ee5c00dcb6316c04000a,46524f4e54454e445c4e45575c5449544c4553435245454e5c42475f
13829,full_path,S\PS2\RACEDETAILS2.XML,5f0070d92d3c01015343454e6836a40abc08000d,535c5053325c5241434544455441494c53322e584d4c00cf7bd4441f
13907,partial_path,TURKEY_S2_FLIP\GRASS TO GRAV'@,414047084000006f0040c15e8d2e01351c09000a,5455524b45595f53325f464c49505c475241535320544f2047524156
13990,partial_path,W\BUSH0(l,3f723f00006c0003d0b65e00dca7389c03cc5d04,575c4255534830286c0905a6e3ed3fef3f00006f0094bc5c9c1c368c
14022,partial_path,1\I2A_ROCKBLEND1)T,e3ed3fef3f00006f0094bc5c9c1c368c0b9c530d,315c4932415f524f434b424c454e443129540805532cde3d38a20300
14185,partial_path,3\BED{FMUD,d43af8459d3e00006e0050fe35ac07dc90bc4702,335c4245447b464d55448a47454c29f00805be2a9847c8cc12006e00
14253,partial_path,"2\VILLAGE04),",2b05511f793e452900006e009cae3cac07ac1c08,325c56494c4c4147453034292c020522ec45468a2f00006e006837ac
14428,partial_path,W\CASTLE03),b52f00006c0003c0545e00cc99337c032a6c0a07,575c434153544c45303329a00405ab451c48d40c00006e00d825bc53
14460,partial_path,HUD\PACENOTES_005.,0405ab451c48d40c00006e00d825bc532fcc050f,4855445c504143454e4f5445535f3030352e84d90598c02c410e2e00
14616,partial_path,M\ALUMINIUM)l,c4433b0a00006c007c8d6c002f7c05cc24acc608,4d5c414c554d494e49554d296c03027183d83d2c5cc46e00f0bd2005
14699,full_path,VEHICLES\SEATBUGGY\COMPLETE.PSMH,696969b9be8548f42a02006e00ccc535ac0e000d,56454849434c45535c5345415442554747595c434f4d504c4554452e
14866,partial_path,_M\RUN_OF+,eeb14c46c33d00006e00e881ac25362c09ac5206,5f4d5c52554e5f4f462bfc2905a50cd844a62700006e00d4aa35ac04
14898,partial_path,W\FUJITSU',05a50cd844a62700006e00d4aa35ac042b4c0a06,575c46554a4954535527bc05059db24b446d0f00006e00b0ab3c2c02
14956,partial_path,3\PINETRE),066910720146bae300006e0000953c0c01bc1906,335c50494e4554524529042a076969c76d4947182e00006e00707220
15014,partial_path,FONTS\ARIAL~dIC,08696969f490d4476e0b00006e0064df359c0d08,464f4e54535c415249414c7e644943ac01045f33305f303137804805
15095,partial_path,S2\TOP*,69eea1d444d00c00006e008ce6353c022bac0603,53325c544f502a0c01058ad4ed47900600006e0048c4352c0b2b6c0c
15699,partial_path,"S2\SLIP,tQ",2d513ff53f00006c000360a75d00dce03f4c3804,53325c534c49502c745105f93c2148835400006e00a098353c250009
15727,partial_path,MISC\CLOTHBALLGXM\NOSHELLAC,745105f93c2148835400006e00a098353c250009,4d4953435c434c4f544842414c4c47584d5c4e4f5348454c4c4143ec
15802,partial_path,TEST\BACKDROP_01,050ea5f2473e1f00006e00f866351c022b6c210d,544553545c4241434b44524f505f3031b8730568417545552700006e
15882,fragment,"M2.CFL""",0018d42d6c05241c510349434f4e545c23402703,4d322e43464c228c33056b23f647542000006e0058e32003fc252d1e
16177,partial_path,S1\HOTEL- n,2e7c3002812c0844005c366d00543dfc4ebc7307,53315c484f54454c2d206e0a494128540305c584d03d6e0a00006e00
16356,partial_path,2\LIGHTHOUS*,e98443b63800006c000388fe5c0098953d2c0108,325c4c49474854484f55532a103d05e4ed4643d01d00006e004c363c
16625,partial_path,_S2\HEDG(t,3351f8492b5f0890624c27fe6254bd20032c0e05,5f53325c484544472874090226292f41a64c826c0002c01f6000fc32
16723,partial_path,2\BURAGO),2a05b2b62740bc2700006e00e43f3c4c059c1005,325c42555241474f29f00102af26e73db74c196e00b894370c012b7c
16792,partial_path,"3\MUTLIRG+,x",45b03f00006e00c4f44dd3b9311c03dc22ac3c06,335c4d55544c4952472b2c78057fcb4247942000006e007c993c8c48
16925,partial_path,4\CHECKS',0b4d557d424122000041220000b44620042c0105,345c434845434b53271407051c17e33fed2800006e00c09b3cbc04bc
16955,partial_path,_W_FLIP\PA,07051c17e33fed2800006e00c09b3cbc04bccb07,5f575f464c49505c5041110000730d0000100f0000000656454d454e
16978,fragment,VEMENT-TGA.GXI,464c49505c5041110000730d0000100f00000006,56454d454e542d5447412e47584900697e246748292202006c0001bc
17017,full_path,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM,48292202006c0001bc6f5e006000002603000000,5c544e475c4441544150534d5c56454849434c45535c4d4547414e45
17082,partial_path,COMMONTEXTURES\REAR128' ,e3e13dd42f00006f0088e25c6908002f0c010004,434f4d4d4f4e54455854555245535c5245415231323827200205e802
17156,partial_path,COURSE\ITALY_S3\TENT2'(,300205945539421f3600006e000cae351c010003,434f555253455c4954414c595f53335c54454e543227280206698ad9
17202,partial_path,TURKEY_S2_FLIP\TREE' ,8ad94947d1fe00006f009c8e5f363c038c080001,5455524b45595f53325f464c49505c545245452720010506e0bc3e32
17242,partial_path,FRANCE_M\MRTRUCK SIDEDOORB'8,20010506e0bc3e321800006e0018f13c1c010008,4652414e43455f4d5c4d52545255434b2053494445444f4f52422738
17298,partial_path,W\WATER(,2b00006c000450f25f00f0ac5c329c052a5c0204,575c5741544552280c0105aa90fe47ce3500006e00f0e535ae064652
17330,partial_path,ND\NEW\TITLESCREEN\BG_,90fe47ce3500006e00f0e535ae06465264350004,4e445c4e45575c5449544c4553435245454e5c42475f9801015f3032
17380,partial_path,1\WHITEPAI*,4705517ab545a50a00006e00a05c3cbc05ac2507,315c57484954455041492a1c0a05099bd33d410000006f007c6c5d36
17503,partial_path,S2\FINISHhS(t,3f8b2400006c0003f4155f009cd138dc06dc4006,53325c46494e4953486853287403076969bfeff247051600006e00b8
17539,partial_path,EST\BACKDROP_016,69bfeff247051600006e00b88d359c042c7c030d,4553545c4241434b44524f505f303136801b051c693d47793f00006e
17731,partial_path,S2\BED TO MUDO,1105f8d5ec46443f00006e00fc41ac1b3d4c020a,53325c42454420544f204d55444f004c5449287402056f2c66400636
17771,partial_path,3\FARM)T,02056f2c6640063600006e00384b3c8c038c1303,335c4641524d2954130769698cfebc3e433c00006e0088e435ec0fdc
17870,partial_path,1\GOODRICH'h,ea3f402e00006f00149560793f0036cc048c1c07,315c474f4f445249434827680205fd33f945313e00006c0004ac945f
17941,partial_path,_S1\CRATE1'@,9e46494c096c000310e55f00a4b0388c03ac0907,5f53315c43524154453127400208696969079dbc459c1f00006e004c
17976,partial_path,2\NOIS($,6969079dbc459c1f00006e004ccd3c5c09bc0803,325c4e4f4953282419076969338ec33ed13200006f00ac34603b6c04
18131,partial_path,1\ALUMINIU),057dd8ec3d390a00006c009024325c022b8c0b07,315c414c554d494e49552918190669b65bfe41044000006e003c8135
18227,partial_path,2\CASTLE03*,0669d35c363eb72f00006e00409c3c6c04ac3f07,325c434153544c4530332a1c0a0209e64b44c14cec6f00543d609823
18263,partial_path,S1\WIRES(,4b44c14cec6f00543d6098232fcc06cc1aac2c05,53315c57495245532814010227b22248a844076e00c0b3350c110003
18291,partial_path,MISC\FADE\BLOCK32_000,2814010227b22248a844076e00c0b3350c110003,4d4953435c464144455c424c4f434b33325f303030bc3c0574b63947
18361,partial_path,!1\MQ,212d3eaf2800006c0001b8895f006c99361c03bf,21315c4d518445402b2824030769694eabbc3e7a1d00006c0003fc91
18458,partial_path,W\SOLID|z,441ff800006c0003f0e35d0058b538fc01bc3104,575c534f4c49447c7a035f5452554e4b27040205ffc9d347e8080000
18499,partial_path,FONTS\ARIALnVIC,c9d347e80800006c0003b03d5d001c10315c0f08,464f4e54535c415249414c6e564943ac01035f32345f3032a0340593
18543,partial_path,HUD\MASTER_TEMPLATE_003,a03405930a1a48332100006e00889f358c080005,4855445c4d41535445525f54454d504c4154455f303033a43c076969
18629,partial_path,Y_W1\DEFAULT `,42723100006c0003ac1a5e00f0c8384c046c180a,595f57315c44454641554c542060020549414e20524f4f4627640407
18772,partial_path,S\PS2\MRALLYESTART,a748a10600006e002464313c052ccc0124ac2e0f,535c5053325c4d52414c4c594553544152548c11053386b941c83a00
18965,partial_path,2\TOP'<,c045cf0c00006f0070d25c694300368c09bc9a02,325c544f50273c0505975db845b23400006e00e49735ec01dc32fc07
19103,partial_path,RA\CAR$,485d9c01006c006c106c002f1c02274c41a86503,52415c43415224c0340598031b483a2000006f00808c607907002ffc
19287,partial_path,_M\CANYON_hd)X,46013b00006c000304105e0018eb382c01bc4a07,5f4d5c43414e594f4e5f68642958070469d39d94443b185c18021800
19451,partial_path,CUPS\CUP-GLASS-REV(4,05b09eda47570300006e001810355c0f2b2c090f,435550535c4355502d474c4153532d524556283401076969e021d447
19798,partial_path,GO\GO]Z9,0202e1cc2348a64cd96e00e899359c0b233c2d02,474f5c474f5d5a3998a7058f2405448f2000006e005852ac102fec18
20202,partial_path,2\VHUT-s,41644c636c00037c535d0040e233ac062a6c2203,325c564855542d730c03c6f427de115887bc11360c13fe11325c2260
20261,partial_path,"T,N\30",6994f447572800006e00acabac2b2fcc0f2b8d04,542c4e5c3330805105eff5543f993800006c0003e44c6000000e33bc
20568,partial_path,1\PINUS*,af58244077c800006e0058c4358c03cc129cb204,315c50494e55532a101e0248508d474e4cce6e0094dd3c5c03dc6a6c
20821,partial_path,\TNG\DAT,69acc4c53e22fc256e000cae241c420901000000,5c544e475c444154110000100f0000410f0000001a4150534d5c434f
20842,full_path,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI,544e475c444154110000100f0000410f0000001a,4150534d5c434f555253455c4652414e43455f53315c4241524b2d54
20900,partial_path,\TNG\DATAPSM,4f440c3600006c000180dc5c0060000d03000000,5c544e475c4441544150534dec080002535041494e5f53315f464c49
20916,partial_path,SPAIN_S1_FLIP\ROAD1A($,030000005c544e475c4441544150534dec080002,535041494e5f53315f464c49505c524f4144314128240107696964ca
20966,partial_path,TURKEY_W\DIRT TO GRAVEL'8,be3d00006c00055c6f5d00b4245d00362c010005,5455524b45595f575c4449525420544f2047524156454c27380105b4
21086,partial_path,FONTS\ARIAL~,280106696324d547c80a00006e000004352c0108,464f4e54535c415249414c7e134943ac010d5f34385f43454e544552
21176,partial_path,PARTICLES\MUD,32d0080531182948ca0a00006e00fcb3352c070a,5041525449434c45535c4d5544a0070536a76140540600006c0003cc
21246,partial_path,S2\BOAT3',053effee46703f00006f00647d5f3b8c05dc3f05,53325c424f415433271001057d7202436f0400006e0084933c0c018c
21276,partial_path,_W2\CTYR),01057d7202436f0400006e0084933c0c018c1105,5f57325c4354595229ac0705aeef973f084000006f00fc205d9d1001
21310,partial_path,W\GRASS_RIGHT'0,973f084000006f00fc205d9d1001354c0bdc620a,575c47524153535f5249474854273002086969692e6d723e01290000
21350,partial_path,2\PAVEML<*,2e6d723e012900006e00b847ac09364c0bac0904,325c504156454d4c3c2a1c01059ec46a45621900006c00035c695f00
21426,partial_path,SCENE\ICONT\,76d7483a6802006c0003f0d35e005c9a2dbc0809,5343454e455c49434f4e545c80250f57322e43464c0069696924744d
21441,fragment,W2.CFL,9a2dbc08095343454e455c49434f4e545c80250f,57322e43464c0069696924744d3f901d00006e001c3335fc0a2ddc10
21538,full_path,FMV\FUJ3.PSS,0669152b1637048043006f0048106028ec060005,464d565c46554a332e5053530069692d83f947182700006e00309c35
21570,partial_path,FRONTEND\NEW\TEST\BACKDROP_071,0069692d83f947182700006e00309c350c03000c,46524f4e54454e445c4e45575c544553545c4241434b44524f505f30
21674,full_path,HUD\HUD-TEMPLATE.PSB,31a01702cfe41748475c5b6e00a049353c09000d,4855445c4855442d54454d504c4154452e505342006969b656274522
21853,partial_path,S1\CONNIFFE),df2d7541173800006e003c7735dc05cc27ac0908,53315c434f4e4e494646452994030565d73f47003500006e00b8963c
21915,partial_path,MISC\ATTRACT\SMLOGO,50020584e81d48a10100006e00f4f0350c0b0001,4d4953435c415454524143545c534d4c4f474fd8410669738fa1408d
22162,partial_path,ITLESCREEN\BG_Tx,05f4070648c53400006e009486352c0b2cec130c,49544c4553435245454e5c42475f547801015f30353788a00669bb06
22309,partial_path,XTURES\CLOUDS0',8c00006c0003f4a05e00b8c6335e034d4d74c40b,5854555245535c434c4f5544533027100105958c4547233d00006c00
22393,partial_path,M\CHURC(C,ef05d4c57a3ea72800006e0014ea3c8c04cc1b04,4d5c4348555243284313f662e1278e23f461ac7636dc16cc08dc4991
22583,partial_path,S2\GATE+,14194b3fcc3f00006e009823370c018c40cc2d04,53325c474154452bd80e0669d20bc33d3b0000006c000304165d0020
22935,partial_path,W1\WALL_),0143a44c5f6c0003601b5e001c13380c0aac0805,57315c57414c4c5f29a02308696969968f8d47a02f00006e0070223c
22995,partial_path,M\DRYRIVERBED(,46023600006c0003584d5f00ac14384c02cc090a,4d5c445259524956455242454428c4060769694d67c7434d0600006e
23276,fragment,S3FLIP.XML,3c2431fc07243c3e015241434523203a9c1b0001,5333464c49502e584d4c00b073c53e6b0f00006e0018ea3c1c02cccc
23305,partial_path,M\WHE*T@,4c00b073c53e6b0f00006e0018ea3c1c02cccc02,4d5c5748452a54400593f5d7470b1100006c00035017600080be31bc
23338,partial_path,BUTTONS\PS2,0b1100006c00035017600080be31bc072bfc0808,425554544f4e535c505332c801598735d84703693330a948154c636c
23580,partial_path,_S3\TOP*,ab05e1df3942cf0c00006e00186f3c7c158c4f04,5f53335c544f502a0c010543e1f747fd1300006c00030c745d0084de
23773,partial_path,_M\TEN*,463c5cd86c0003d8fc5e00d4c3313c012b3c0c03,5f4d5c54454e2ad43d02b6444e44295c576e009cf23c1c0cfc57ac24
23912,partial_path,"2\FARM),+",41db3500006c00037ce45d00e4b038ec04cc4303,325c4641524d292c2b05adbfd347520a00006c0003d4205e0074f931
24074,partial_path,S2\VILLAGE06'$,0669c057553fb53b00006e001c343c5c03dc1109,53325c56494c4c4147453036272401050d889e3fd10c00006e0094aa
24617,partial_path,2\COB\,d7363e4d2c00006e00f4d437cc0a234c20ac8902,325c434f425c1b27a8090669cb836a45a92b00006e00183c35ac09dc
