offset,sig8,body_prefix,pos008,pos014,pos01c,pos020,pos024,pos028,pos088,pos094,pos0a4,pos148,pos164
591610733,43fc8592,cc87,595953612,1097796814,1865182552,4277955536,229490231,32920546,3382052678,517602579,3745470209,471737255,1827198534
602967877,43fc8592,c909,3712485833,3139142415,516052491,3790052318,2990514367,2286279551,1794224833,3107741682,1050058608,2423710522,3164261190
827017878,43fc8592,c909,3662154185,2873115708,2998926366,698942882,928718266,4077581239,2667250136,2881853354,2777160448,239138390,2618553782
834939833,43fc8592,c909,3662154185,2873115708,2998926366,698942882,928718266,4077581239,2667250136,2881853354,2777160448,3115319728,3785996094
907806593,43fc8546,4f65,1048864079,3681334096,687809284,1244464366,348304071,2221264997,1550223645,4012847152,1151192980,1494539771,2635472325
993029289,43fc8592,c90f,1175064521,1861487846,3199033781,3822043126,3620792955,1036025418,3487393458,58757100,165672911,3359327854,2475516193
993200545,43fc8592,cc87,922388428,1839717660,2247046858,2671242039,2884603199,4213792067,568765803,31655,3758161920,3747251621,1701683523
993268813,43fc8592,c900,3617980617,3849253900,3753325996,1878850007,3910818429,3053967439,770141029,2013258834,26492416,568257959,2274813064
993683821,43fc8592,cc87,922388428,4193175264,3895957046,461373045,3129366239,3976328787,3710966226,15045085,3203375019,316636030,3264175049
993755763,43fc8592,cc80,1800634572,3828447091,3754602157,4244232101,442137967,131616745,3069465309,2447195961,2142110340,3822482041,2641830818
993983673,43fc8592,cc87,595953612,930744051,3755389018,4176705919,901053150,263233490,4001810838,100700140,148240335,261934538,1210948045
994538475,43fc8592,cc87,922388428,2007197488,4223022763,3795810767,2929841655,2072051092,3080301786,14688955,50019959,2758548864,3144195026
994847228,43fc858b,321e,2366905906,4287159580,4203586957,4053787757,1869092219,263233298,734734353,1292079034,1364933101,1119503451,1187622663
995287743,43fc8592,c90f,2381320137,3151049624,2103165802,1182973159,1869149629,263233298,1588948619,3234809380,1345642152,3414573114,4145796658
995352766,43fc8592,cc87,595953612,1872590451,696039317,4088353727,3036339960,2963264053,3419385176,1869207698,9735148,3244905596,838146563
995917781,43fc8592,cc87,922388428,2119687452,1865170548,2134831064,2253840155,32920506,2679414492,3959799159,1702941741,1226709909,3998062166
995975958,43fc8592,cc80,1800634572,4000248844,4015773616,939457771,1947053502,3674467495,3105564251,2527100004,742194174,2996098406,3685531301
996158929,43fc8592,cc87,595953612,1097796814,1865182552,4277955536,229490231,32920546,3382052678,517602579,3745470209,471737255,1827198534
996638023,43fc8592,cc87,922388428,2007197488,4223022763,2369781722,1564716015,4127259433,3979776813,58757100,366540751,1264419827,1927108780
1007453128,43fc8592,c909,3712485833,3139142415,516052491,3790052318,2990514367,2286279551,1794224833,3107741682,1050058608,2884576958,2334594999
1008476090,43fc8592,cc84,3716711628,3178105918,1399787361,1115677538,1308608990,1869095702,1671671404,172344729,1354171657,3385670537,332963509
