record_index,record_offset,record_offset_hex,sig8,body_prefix,tail_sig8,branch_family,field_pos_dec,field_pos_hex,cand_off,cand_off_hex,cluster_start,cluster_start_hex,cluster_end,cluster_end_hex,bank_id
179,983831692,0x3AA4148C,0000010c43fc6f25,9201,0000010d43fc8db2,0000010c43fc6f25|9201,140,0x08C,481764615,0x1CB72507,481757162,0x1CB707EA,484739865,0x1CE48B19,BANK_10
121,587021819,0x22FD3DFB,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
194,987922496,0x3AE28040,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
221,991595922,0x3B1A8D92,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
1,172081806,0x0A41C28E,0000010c43fc6f8b,2402,0000010d43fc9bb2,0000010c43fc6f8b|2402,108,0x06C,877667835,0x345025FB,877660731,0x34500A3B,877890107,0x34538A3B,BANK_15
87,577834369,0x22710D81,0000010c43fc6f8b,2402,0000010d43fc9bb2,0000010c43fc6f8b|2402,108,0x06C,877667835,0x345025FB,877660731,0x34500A3B,877890107,0x34538A3B,BANK_15
175,982467567,0x3A8F43EF,0000010c43fc6f8b,2402,0000010d43fc9bb2,0000010c43fc6f8b|2402,108,0x06C,877667835,0x345025FB,877660731,0x34500A3B,877890107,0x34538A3B,BANK_15
15,177571610,0x0A95871A,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,148,0x094,104905160,0x0640B9C8,104894556,0x0640905C,109533195,0x0687580B,BANK_04
35,181269256,0x0ACDF308,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,148,0x094,104905160,0x0640B9C8,104894556,0x0640905C,109533195,0x0687580B,BANK_04
101,583324173,0x22C4D20D,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,148,0x094,104905160,0x0640B9C8,104894556,0x0640905C,109533195,0x0687580B,BANK_04
121,587021819,0x22FD3DFB,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,148,0x094,104905160,0x0640B9C8,104894556,0x0640905C,109533195,0x0687580B,BANK_04
194,987922496,0x3AE28040,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,148,0x094,104905160,0x0640B9C8,104894556,0x0640905C,109533195,0x0687580B,BANK_04
221,991595922,0x3B1A8D92,0000010c43fc6f8b,2402,0000010d43fc7943,0000010c43fc6f8b|2402,148,0x094,104905160,0x0640B9C8,104894556,0x0640905C,109533195,0x0687580B,BANK_04
4,173723539,0x0A5ACF93,0000010c43fc6f8b,2402,0000010d425ff977,0000010c43fc6f8b|2402,164,0x0A4,462570194,0x1B9242D2,462554468,0x1B920564,466512796,0x1BCE6B9C,BANK_09
90,579476102,0x228A1A86,0000010c43fc6f8b,2402,0000010d425ff977,0000010c43fc6f8b|2402,164,0x0A4,462570194,0x1B9242D2,462554468,0x1B920564,466512796,0x1BCE6B9C,BANK_09
181,984095297,0x3AA81A41,0000010c43fc6f8b,2402,0000010d43fc97b2,0000010c43fc6f8b|2402,164,0x0A4,462570194,0x1B9242D2,462554468,0x1B920564,466512796,0x1BCE6B9C,BANK_09
22,178532071,0x0AA42EE7,0000010c43fc6f91,2015,0000010d43fc7743,0000010c43fc6f91|2015,20,0x014,968047002,0x39B3399A,968039992,0x39B31E38,976789048,0x3A389E38,BANK_20
108,584284634,0x22D379DA,0000010c43fc6f91,2015,0000010d43fc7743,0000010c43fc6f91|2015,20,0x014,968047002,0x39B3399A,968039992,0x39B31E38,976789048,0x3A389E38,BANK_20
201,988878749,0x3AF1179D,0000010c43fc6f91,2015,0000010d43fc7743,0000010c43fc6f91|2015,20,0x014,968047002,0x39B3399A,968039992,0x39B31E38,976789048,0x3A389E38,BANK_20
228,992600067,0x3B29E003,0000010c43fc6f91,2015,0000010d43fc7743,0000010c43fc6f91|2015,20,0x014,968047002,0x39B3399A,968039992,0x39B31E38,976789048,0x3A389E38,BANK_20
22,178532071,0x0AA42EE7,0000010c43fc6f91,2015,0000010d43fc7743,0000010c43fc6f91|2015,136,0x088,419445938,0x19003CB2,419438533,0x19001FC5,422609257,0x19308169,BANK_06
108,584284634,0x22D379DA,0000010c43fc6f91,2015,0000010d43fc7743,0000010c43fc6f91|2015,136,0x088,419445938,0x19003CB2,419438533,0x19001FC5,422609257,0x19308169,BANK_06
201,988878749,0x3AF1179D,0000010c43fc6f91,2015,0000010d43fc7743,0000010c43fc6f91|2015,136,0x088,419445938,0x19003CB2,419438533,0x19001FC5,422609257,0x19308169,BANK_06
228,992600067,0x3B29E003,0000010c43fc6f91,2015,0000010d43fc7743,0000010c43fc6f91|2015,136,0x088,419445938,0x19003CB2,419438533,0x19001FC5,422609257,0x19308169,BANK_06
7,176042623,0x0A7E327F,0000010c43fc6f91,201c,0000010d427d261e,0000010c43fc6f91|201c,108,0x06C,884339739,0x34B5F41B,884329027,0x34B5CA43,889932355,0x350B4A43,BANK_17
18,178188974,0x0A9EF2AE,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,886082281,0x34D08AE9,886082115,0x34D08A43,889932355,0x350B4A43,BANK_17
27,179674492,0x0AB59D7C,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,884339739,0x34B5F41B,884329027,0x34B5CA43,889932355,0x350B4A43,BANK_17
37,181920940,0x0AD7E4AC,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,886082281,0x34D08AE9,886082115,0x34D08A43,889932355,0x350B4A43,BANK_17
93,581795186,0x22AD7D72,0000010c43fc6f91,201c,0000010d427d261e,0000010c43fc6f91|201c,108,0x06C,884339739,0x34B5F41B,884329027,0x34B5CA43,889932355,0x350B4A43,BANK_17
104,583941537,0x22CE3DA1,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,886082281,0x34D08AE9,886082115,0x34D08A43,889932355,0x350B4A43,BANK_17
113,585427055,0x22E4E86F,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,884339739,0x34B5F41B,884329027,0x34B5CA43,889932355,0x350B4A43,BANK_17
123,587673503,0x23072F9F,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,886082281,0x34D08AE9,886082115,0x34D08A43,889932355,0x350B4A43,BANK_17
186,986400481,0x3ACB46E1,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,884339739,0x34B5F41B,884329027,0x34B5CA43,889932355,0x350B4A43,BANK_17
197,988537314,0x3AEBE1E2,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,886082281,0x34D08AE9,886082115,0x34D08A43,889932355,0x350B4A43,BANK_17
209,990014231,0x3B026B17,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,884339739,0x34B5F41B,884329027,0x34B5CA43,889932355,0x350B4A43,BANK_17
224,992243829,0x3B247075,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,108,0x06C,886082281,0x34D08AE9,886082115,0x34D08A43,889932355,0x350B4A43,BANK_17
10,176784835,0x0A8985C3,0000010c43fc6f91,201c,0000010d42d9b68f,0000010c43fc6f91|201c,136,0x088,970229892,0x39D48884,970219064,0x39D45E38,976789048,0x3A389E38,BANK_20
18,178188974,0x0A9EF2AE,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,75261159,0x047C64E7,75260640,0x047C62E0,78987302,0x04B54026,BANK_03
31,180557302,0x0AC315F6,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,462532631,0x1B91B017,462504880,0x1B9143B0,466512796,0x1BCE6B9C,BANK_09
37,181920940,0x0AD7E4AC,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,75261159,0x047C64E7,75260640,0x047C62E0,78987302,0x04B54026,BANK_03
96,582537398,0x22B8D0B6,0000010c43fc6f91,201c,0000010d42d9b68f,0000010c43fc6f91|201c,136,0x088,970229892,0x39D48884,970219064,0x39D45E38,976789048,0x3A389E38,BANK_20
104,583941537,0x22CE3DA1,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,75261159,0x047C64E7,75260640,0x047C62E0,78987302,0x04B54026,BANK_03
117,586309865,0x22F260E9,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,462532631,0x1B91B017,462504880,0x1B9143B0,466512796,0x1BCE6B9C,BANK_09
123,587673503,0x23072F9F,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,75261159,0x047C64E7,75260640,0x047C62E0,78987302,0x04B54026,BANK_03
189,987139485,0x3AD68D9D,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,970229892,0x39D48884,970219064,0x39D45E38,976789048,0x3A389E38,BANK_20
197,988537314,0x3AEBE1E2,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,75261159,0x047C64E7,75260640,0x047C62E0,78987302,0x04B54026,BANK_03
216,990889807,0x3B0FC74F,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,462532631,0x1B91B017,462504880,0x1B9143B0,466512796,0x1BCE6B9C,BANK_09
224,992243829,0x3B247075,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,136,0x088,75261159,0x047C64E7,75260640,0x047C62E0,78987302,0x04B54026,BANK_03
7,176042623,0x0A7E327F,0000010c43fc6f91,201c,0000010d427d261e,0000010c43fc6f91|201c,140,0x08C,606339968,0x24240380,606334375,0x2423EDA7,608129660,0x243F527C,BANK_13
27,179674492,0x0AB59D7C,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,140,0x08C,606339968,0x24240380,606334375,0x2423EDA7,608129660,0x243F527C,BANK_13
93,581795186,0x22AD7D72,0000010c43fc6f91,201c,0000010d427d261e,0000010c43fc6f91|201c,140,0x08C,606339968,0x24240380,606334375,0x2423EDA7,608129660,0x243F527C,BANK_13
113,585427055,0x22E4E86F,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,140,0x08C,606339968,0x24240380,606334375,0x2423EDA7,608129660,0x243F527C,BANK_13
186,986400481,0x3ACB46E1,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,140,0x08C,606339968,0x24240380,606334375,0x2423EDA7,608129660,0x243F527C,BANK_13
208,989955355,0x3B01851B,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,140,0x08C,606339968,0x24240380,606334375,0x2423EDA7,608129660,0x243F527C,BANK_13
209,990014231,0x3B026B17,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,140,0x08C,606339968,0x24240380,606334375,0x2423EDA7,608129660,0x243F527C,BANK_13
7,176042623,0x0A7E327F,0000010c43fc6f91,201c,0000010d427d261e,0000010c43fc6f91|201c,148,0x094,70968717,0x043AE58D,70953405,0x043AA9BD,78987302,0x04B54026,BANK_03
27,179674492,0x0AB59D7C,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,148,0x094,70968717,0x043AE58D,70953405,0x043AA9BD,78987302,0x04B54026,BANK_03
93,581795186,0x22AD7D72,0000010c43fc6f91,201c,0000010d427d261e,0000010c43fc6f91|201c,148,0x094,70968717,0x043AE58D,70953405,0x043AA9BD,78987302,0x04B54026,BANK_03
113,585427055,0x22E4E86F,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,148,0x094,70968717,0x043AE58D,70953405,0x043AA9BD,78987302,0x04B54026,BANK_03
186,986400481,0x3ACB46E1,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,148,0x094,70968717,0x043AE58D,70953405,0x043AA9BD,78987302,0x04B54026,BANK_03
208,989955355,0x3B01851B,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,148,0x094,75163021,0x047AE58D,75161439,0x047ADF5F,78987302,0x04B54026,BANK_03
209,990014231,0x3B026B17,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,148,0x094,70968717,0x043AE58D,70953405,0x043AA9BD,78987302,0x04B54026,BANK_03
18,178188974,0x0A9EF2AE,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,12858815,0x00C435BF,12843068,0x00C3F83C,16856694,0x01013676,BANK_01
37,181920940,0x0AD7E4AC,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,12858815,0x00C435BF,12843068,0x00C3F83C,16856694,0x01013676,BANK_01
43,182683956,0x0AE38934,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,924403254,0x37194636,924396309,0x37192B15,928623381,0x3759AB15,BANK_19
104,583941537,0x22CE3DA1,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,12858815,0x00C435BF,12843068,0x00C3F83C,16856694,0x01013676,BANK_01
123,587673503,0x23072F9F,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,12858815,0x00C435BF,12843068,0x00C3F83C,16856694,0x01013676,BANK_01
129,588436519,0x2312D427,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,924403254,0x37194636,924396309,0x37192B15,928623381,0x3759AB15,BANK_19
197,988537314,0x3AEBE1E2,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,12858815,0x00C435BF,12843068,0x00C3F83C,16856694,0x01013676,BANK_01
224,992243829,0x3B247075,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,12858815,0x00C435BF,12843068,0x00C3F83C,16856694,0x01013676,BANK_01
230,993000475,0x3B2FFC1B,0000010c43fc6f91,201c,0000010d43fc7943,0000010c43fc6f91|201c,164,0x0A4,924403254,0x37194636,924396309,0x37192B15,928623381,0x3759AB15,BANK_19
50,199480598,0x0BE3D516,0000010c43fc6f91,2402,0000010d42487586,0000010c43fc6f91|2402,20,0x014,484253334,0x1CDD1E96,484220538,0x1CDC9E7A,484739865,0x1CE48B19,BANK_10
69,203388545,0x0C1F7681,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,20,0x014,484253334,0x1CDD1E96,484220538,0x1CDC9E7A,484739865,0x1CE48B19,BANK_10
136,605233161,0x24132009,0000010c43fc6f91,2402,0000010d42487586,0000010c43fc6f91|2402,20,0x014,484253334,0x1CDD1E96,484220538,0x1CDC9E7A,484739865,0x1CE48B19,BANK_10
155,609141108,0x244EC174,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,20,0x014,484253334,0x1CDD1E96,484220538,0x1CDC9E7A,484739865,0x1CE48B19,BANK_10
242,1009704633,0x3C2EDEB9,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,20,0x014,484253334,0x1CDD1E96,484220538,0x1CDC9E7A,484739865,0x1CE48B19,BANK_10
264,1013589920,0x3C6A27A0,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,20,0x014,484253334,0x1CDD1E96,484220538,0x1CDC9E7A,484739865,0x1CE48B19,BANK_10
58,201060098,0x0BFBEF02,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,108,0x06C,447255165,0x1AA8927D,447192344,0x1AA79D18,448145427,0x1AB62813,BANK_08
144,606812661,0x242B39F5,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,108,0x06C,447255165,0x1AA8927D,447192344,0x1AA79D18,448145427,0x1AB62813,BANK_08
250,1011271756,0x3C46C84C,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,108,0x06C,447255165,0x1AA8927D,447192344,0x1AA79D18,448145427,0x1AB62813,BANK_08
58,201060098,0x0BFBEF02,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,136,0x088,928170693,0x3752C2C5,928164629,0x3752AB15,928623381,0x3759AB15,BANK_19
63,202062535,0x0C0B3AC7,0000010c43fc6f91,2402,0000010d43fc774b,0000010c43fc6f91|2402,136,0x088,969239563,0x39C56C0B,969236024,0x39C55E38,976789048,0x3A389E38,BANK_20
70,203555374,0x0C22022E,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,136,0x088,925859856,0x372F8010,925854485,0x372F6B15,928623381,0x3759AB15,BANK_19
144,606812661,0x242B39F5,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,136,0x088,928170693,0x3752C2C5,928164629,0x3752AB15,928623381,0x3759AB15,BANK_19
149,607815098,0x243A85BA,0000010c43fc6f91,2402,0000010d43fc774b,0000010c43fc6f91|2402,136,0x088,969239563,0x39C56C0B,969236024,0x39C55E38,976789048,0x3A389E38,BANK_20
156,609307937,0x24514D21,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,136,0x088,925859856,0x372F8010,925854485,0x372F6B15,928623381,0x3759AB15,BANK_19
250,1011271756,0x3C46C84C,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,136,0x088,928170693,0x3752C2C5,928164629,0x3752AB15,928623381,0x3759AB15,BANK_19
265,1013755944,0x3C6CB028,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,136,0x088,925859856,0x372F8010,925854485,0x372F6B15,928623381,0x3759AB15,BANK_19
49,199342123,0x0BE1B82B,0000010c43fc6f91,2402,0000010d43fc7761,0000010c43fc6f91|2402,140,0x08C,559994248,0x2160D588,559978876,0x2160997C,572121641,0x2219E229,BANK_11
58,201060098,0x0BFBEF02,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,140,0x08C,44828482,0x02AC0742,44806488,0x02ABB158,54355023,0x033D644F,BANK_02
135,605094686,0x2411031E,0000010c43fc6f91,2402,0000010d43fc7761,0000010c43fc6f91|2402,140,0x08C,559994248,0x2160D588,559978876,0x2160997C,572121641,0x2219E229,BANK_11
144,606812661,0x242B39F5,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,140,0x08C,44828482,0x02AC0742,44806488,0x02ABB158,54355023,0x033D644F,BANK_02
250,1011271756,0x3C46C84C,0000010c43fc6f91,2402,0000010d43fc7943,0000010c43fc6f91|2402,140,0x08C,44828482,0x02AC0742,44806488,0x02ABB158,54355023,0x033D644F,BANK_02
69,203388545,0x0C1F7681,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,148,0x094,850523357,0x32B1F4DD,850512427,0x32B1CA2B,853625387,0x32E14A2B,BANK_14
155,609141108,0x244EC174,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,148,0x094,850523357,0x32B1F4DD,850512427,0x32B1CA2B,853625387,0x32E14A2B,BANK_14
264,1013589920,0x3C6A27A0,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,148,0x094,850523357,0x32B1F4DD,850512427,0x32B1CA2B,853625387,0x32E14A2B,BANK_14
34,181201343,0x0ACCE9BF,0000010c43fc6f91,2402,0000010d42906331,0000010c43fc6f91|2402,164,0x0A4,461183117,0x1B7D188D,461182262,0x1B7D1536,466512796,0x1BCE6B9C,BANK_09
54,200103086,0x0BED54AE,0000010c43fc6f91,2402,0000010d43fc7761,0000010c43fc6f91|2402,164,0x0A4,463175990,0x1B9B8136,463149644,0x1B9B1A4C,466512796,0x1BCE6B9C,BANK_09
78,205290424,0x0C3C7BB8,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,164,0x0A4,561041079,0x2170CEB7,561035793,0x2170BA11,572121641,0x2219E229,BANK_11
120,586953906,0x22FC34B2,0000010c43fc6f91,2402,0000010d42906331,0000010c43fc6f91|2402,164,0x0A4,461183117,0x1B7D188D,461182262,0x1B7D1536,466512796,0x1BCE6B9C,BANK_09
140,605855649,0x241C9FA1,0000010c43fc6f91,2402,0000010d43fc7761,0000010c43fc6f91|2402,164,0x0A4,463175990,0x1B9B8136,463149644,0x1B9B1A4C,466512796,0x1BCE6B9C,BANK_09
164,611042987,0x246BC6AB,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,164,0x0A4,561041079,0x2170CEB7,561035793,0x2170BA11,572121641,0x2219E229,BANK_11
220,991528537,0x3B198659,0000010c43fc6f91,2402,0000010d43fc7b43,0000010c43fc6f91|2402,164,0x0A4,461183117,0x1B7D188D,461182262,0x1B7D1536,466512796,0x1BCE6B9C,BANK_09
246,1010322218,0x3C384B2A,0000010c43fc6f91,2402,0000010d43fc7761,0000010c43fc6f91|2402,164,0x0A4,463175990,0x1B9B8136,463149644,0x1B9B1A4C,466512796,0x1BCE6B9C,BANK_09
273,1015483833,0x3C870DB9,0000010c43fc6f91,2402,0000010d43fc7743,0000010c43fc6f91|2402,164,0x0A4,561041079,0x2170CEB7,561035793,0x2170BA11,572121641,0x2219E229,BANK_11
6,175317904,0x0A732390,0000010c43fc6f92,c807,0000010d43fc7943,0000010c43fc6f92|c807,20,0x014,879179463,0x346736C7,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
19,178252192,0x0A9FE9A0,0000010c43fc6f92,c807,0000010d425e418f,0000010c43fc6f92|c807,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
25,179023206,0x0AABAD66,0000010c43fc6f92,c807,0000010d43d84188,0000010c43fc6f92|c807,20,0x014,879179463,0x346736C7,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
28,179735786,0x0AB68CEA,0000010c43fc6f92,c807,0000010d427bbc4c,0000010c43fc6f92|c807,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
38,181992331,0x0AD8FB8B,0000010c43fc6f92,c807,0000010d425e418f,0000010c43fc6f92|c807,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
92,581070467,0x22A26E83,0000010c43fc6f92,c807,0000010d43fc7943,0000010c43fc6f92|c807,20,0x014,879179463,0x346736C7,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
105,584004755,0x22CF3493,0000010c43fc6f92,c807,0000010d425e418f,0000010c43fc6f92|c807,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
111,584775769,0x22DAF859,0000010c43fc6f92,c807,0000010d43d84188,0000010c43fc6f92|c807,20,0x014,879179463,0x346736C7,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
114,585488349,0x22E5D7DD,0000010c43fc6f92,c807,0000010d427bbc4c,0000010c43fc6f92|c807,20,0x014,879179335,0x34673647,879168063,0x34670A3F,884050495,0x34B18A3F,BANK_16
