pos_dec,pos_hex,in_range_ratio,align16_ratio,align800_ratio,unique_in_range_values,sample_start_1,sample_start_2,sample_start_3
492,0x1EC,0.2907801418439716,0.10975609756097561,0.0,44,01ba4a0c492b717b,ad01a98303494595,4df8b35f34bbb1a2
128,0x080,0.2872340425531915,0.037037037037037035,0.024691358024691357,34,7fbfec2bb93b24b3,a07a3f2e9c010ad3,f1f10e9a370c8d94
120,0x078,0.28368794326241137,0.1375,0.0,28,000e6b2c0e3df398,17bdbc262a0d04d2,fc264c060f700b40
440,0x1B8,0.28368794326241137,0.125,0.0,45,c8219452fe1ce86a,f8a4a006c480081c,b7dd28fc7a16c833
232,0x0E8,0.28368794326241137,0.0875,0.0,39,cc76aac25d4c1b20,7df11c6d9499b24b,58529cba0e6c5852
296,0x128,0.2801418439716312,0.10126582278481013,0.0379746835443038,42,b036f3dacf23cc8f,eb24d1d263c90195,2b7fb91801010020
92,0x05C,0.2801418439716312,0.02531645569620253,0.02531645569620253,28,6aca34f6c694ce37,dad9ecf016bc93ec,00ca110200d01102
448,0x1C0,0.2765957446808511,0.1794871794871795,0.0,41,038c0707da5205f3,523d4dfc31c3652f,4b44a47268684e11
340,0x154,0.2765957446808511,0.1282051282051282,0.05128205128205128,39,32e04684482a2576,6c05fc02fc006c02,7f74ff64786a5f1f
108,0x06C,0.2765957446808511,0.07692307692307693,0.0,26,e55c8b07d2ff1a07,74443e036c1986c9,293e113b42c34c44
312,0x138,0.2765957446808511,0.05128205128205128,0.0,40,546ac4b74616d9b7,787c5dbf086c4dbd,f8540105e00ffa83
176,0x0B0,0.2765957446808511,0.01282051282051282,0.0,29,fc616c3d0c757370,200f2f8e0f8b9c22,f9e762581abd0f72
496,0x1F0,0.2730496453900709,0.12987012987012986,0.0,42,a4010008001b261b,330bc31ae8cd33ca,75d06aa18b862a4d
392,0x188,0.2730496453900709,0.07792207792207792,0.012987012987012988,45,3f9c93095c0aa59d,3e6c1e6b3fc07e95,27a782be3e6f0696
416,0x1A0,0.2695035460992908,0.18421052631578946,0.0,43,b5ca1810d3591cdf,90f70886a195c645,f8418e085ff28650
192,0x0C0,0.2695035460992908,0.14473684210526316,0.10526315789473684,34,9d4b4578e50f5b02,2b7fb91801010020,ea321bc02d4b6b4a
388,0x184,0.2695035460992908,0.06578947368421052,0.02631578947368421,41,3fd618b83080000c,67e28f500c037e2a,8f74bc9337d24ae3
376,0x178,0.26595744680851063,0.12,0.04,41,e7a59b2bcc000144,12a6c79a6ddf82c4,352586a10309a054
352,0x160,0.26595744680851063,0.05333333333333334,0.0,39,ef5cf03917f1cc4e,39b27300ab1f0084,13275d3451e6c642
488,0x1E8,0.2624113475177305,0.20270270270270271,0.0,40,3c42bb91a386945a,9974f9b1f1af5d09,0020763fa74508c5
156,0x09C,0.2624113475177305,0.1891891891891892,0.04054054054054054,32,f797c235d0cf46cc,d35d03d45d03d55d,400603005a79cd3c
320,0x140,0.2624113475177305,0.14864864864864866,0.0,37,a202b4e5873da34c,3f0000413e00a045,b7c2cf2ebf9a28bd
336,0x150,0.2624113475177305,0.0945945945945946,0.05405405405405406,37,417c096c1500a8da,084264d8a155d046,bce3b67f3f352815
228,0x0E4,0.2624113475177305,0.02702702702702703,0.02702702702702703,35,6258c03913325c66,26d56f8bf5000e65,78a3cc237bff21ad
464,0x1D0,0.2624113475177305,0.0,0.0,41,413c275c0b0f7088,80000001b5148200,13f3f0ef3a7a0339
300,0x12C,0.25886524822695034,0.1780821917808219,0.0410958904109589,38,e2ddea3c4edd783f,9a86217630248916,bc44f7a0a21e3781
332,0x14C,0.25886524822695034,0.0684931506849315,0.0547945205479452,38,0021200000000b00,10ca2f119f7e16de,efd7e21a091956bb
328,0x148,0.2553191489361702,0.1527777777777778,0.05555555555555555,37,25ad2053ba17795c,5c066c6aae017c22,f60f8a0d64fcdf05
408,0x198,0.2553191489361702,0.05555555555555555,0.0,38,59007a201760052d,ca291cae4eb11377,5e6e0643df6cbc28
188,0x0BC,0.25177304964539005,0.2112676056338028,0.07042253521126761,28,10d244d40c693fec,0000640104250404,845d2719094d4a55
196,0x0C4,0.25177304964539005,0.15492957746478872,0.0,30,2045b01992484f62,df5a59bde9e7741e,867c68ff9c907aff
364,0x16C,0.25177304964539005,0.07042253521126761,0.0,39,307de619b6c01a90,55606868c3d82def,d2c499b0bc4011c7
412,0x19C,0.25177304964539005,0.04225352112676056,0.0,42,1213ff684c317d93,b78f4c3fc19c8b5b,58002a4701000101
344,0x158,0.24822695035460993,0.12857142857142856,0.05714285714285714,33,621f06be23da30c4,ca3cc680f4655342,06d8eaf4500cc800
456,0x1C8,0.24468085106382978,0.18840579710144928,0.0,39,0239e34eb820024c,af4bb24e143f916e,5f6158388a6f643b
284,0x11C,0.24468085106382978,0.10144927536231885,0.014492753623188406,38,3e2ccc0603c788ce,8c065c19358c0a2a,5c316d14149719c0
372,0x174,0.24468085106382978,0.08695652173913043,0.0,35,a656035131399600,01b820e974d0981a,9e8f86ff999080ff
12,0x00C,0.24468085106382978,0.0,0.0,13,7c4d8c066d47004c,addf0e3eecc57c3f,3f9947973e842960
224,0x0E0,0.24113475177304963,0.16176470588235295,0.04411764705882353,35,34585b75ba4e6fea,6ed871ce9bb69e94,4c0272d0420d2f1a
68,0x044,0.2375886524822695,0.014925373134328358,0.0,26,01aaed5042fc672a,814cc90ed0933f00,e819c0521bcede18
208,0x0D0,0.2375886524822695,0.0,0.0,31,91803021068c804c,e47f3f2ea4f24376,6ef95259e9b117ef
60,0x03C,0.23404255319148937,0.030303030303030304,0.030303030303030304,23,831ba91fdd301016,d2fa9dc2e9c0c390,26a125719f3d7803
360,0x168,0.23049645390070922,0.046153846153846156,0.0,38,75f9bcf9d87f3f80,65fb7658119c6c02,aeb1a08af289613f
316,0x13C,0.22695035460992907,0.109375,0.046875,35,24d9fa42c52f680a,8a63524b103af9b0,bc0c4c060e600540
396,0x18C,0.22695035460992907,0.078125,0.03125,34,63accb086d8c0e97,003e4322002f3217,6f7c157c066c137c
236,0x0EC,0.22340425531914893,0.12698412698412698,0.031746031746031744,29,406035c9a02726e7,70740955ac30d8d5,203640498c9d222c
220,0x0DC,0.22340425531914893,0.015873015873015872,0.015873015873015872,26,9e337f3f5e05d33b,4c2a4c4b0ee0d8d1,0ebf1a13ff36db94
204,0x0CC,0.2198581560283688,0.08064516129032258,0.0,29,8017550e2055d4c4,cf4d07d14d04d0cd,bf9d4312c5ae97d9
200,0x0C8,0.2198581560283688,0.0,0.0,27,fb1e0fa7e00fab43,0724fa94d71345b6,4ea8916b76e40a58
356,0x164,0.2198581560283688,0.0,0.0,32,ffd9d2d3ffd2c8c1,003798160e9724d7,7380a3fdc2ae7d80
212,0x0D4,0.21631205673758866,0.09836065573770492,0.0,27,4d3cff5d493aff57,3f00805d3ed3dfbe,cb25218fe46918b3
172,0x0AC,0.20921985815602837,0.05084745762711865,0.0,27,890006d0c2ffdfd4,157798434a4edf89,3fedfe122704f62b
180,0x0B4,0.20212765957446807,0.017543859649122806,0.0,22,2a2103313324090e,1a34ae1a68dddc62,d84b1000dcd404cf
24,0x018,0.1950354609929078,0.09090909090909091,0.01818181818181818,16,6ca429b4a7b7b889,626a8fc080ebe01d,616182634f9f6763
16,0x010,0.19148936170212766,0.018518518518518517,0.0,15,000000000000000f,ac659474d6d0425d,40fc31f484edf01d
56,0x038,0.19148936170212766,0.0,0.0,17,e8f8cb03d24ac5b9,0d3eeda144543a35,5c8003a267569886
112,0x070,0.19148936170212766,0.0,0.0,18,b13c30780e0c1a04,27830b0186e8fb2c,070e1917f23e7a82
184,0x0B8,0.1879432624113475,0.1320754716981132,0.0,26,58ab017c1308d9d7,20876af9d675ccb4,0651ae408da61501
64,0x040,0.1879432624113475,0.03773584905660377,0.03773584905660377,17,0c92c384220c2d00,4e4c317c4a7c4c7c,b57a536f0c646186
96,0x060,0.18439716312056736,0.09615384615384616,0.038461538461538464,22,649495371f59642f,45bf2e2c260af084,1474b1d74d9fde4b
32,0x020,0.17375886524822695,0.16326530612244897,0.08163265306122448,17,7c007f013232328c,90685580c0863033,10ff101902ff101a
104,0x068,0.15602836879432624,0.1590909090909091,0.0,16,524a0d084a3e801a,923d5abeba3ad094,5c360e90ec6b3db3
100,0x064,0.14893617021276595,0.047619047619047616,0.047619047619047616,17,14fd0e94c5f51f70,70c0a2c29409c450,8488807f76d50db4
48,0x030,0.14893617021276595,0.0,0.0,18,a1896dff8a4c7822,978570ff716158ff,7e2f5b8c2147d0f5
8,0x008,0.14184397163120568,0.65,0.0,6,e652c31befa0083e,bc4d0c55d3a0c9e6,0c3f9c200e6007bf
