scene_index,header_off_hex,scene_off_hex,end_off_hex,size_bytes,name,name_norm,magic_be,field_a_be,field_b_be,const_0101_be,const_200000_be,field_c_be,trailer_be,printable_ratio,ascii_strings_4,ascii_strings_5,keywords_found,text_sha1,sample_strings
10,0x0020CB76,0x0020CB96,0x0020D869,3315,LoadingScreen,loadingscreen,0x3E0D0A11,0xB602,0x7653,0x101,0x200000,0x7604,0xB,0.6766,198,160,,72a01f5fffe1844370140b704cc031d224a1e571,"<Scene>
  <EggLists_Version4 |  Name=""LoadingScreen"" |   <Value | Use en2d"" Type=""Bool""  | =""True""/'p | Freezable  | 
Draw Priority | Tick;"
11,0x0020D869,0x0020D889,0x0020E73E,3797,LoadingScreen,loadingscreen,0x3E0D0A11,0x1504,0x5F67,0x101,0x200000,0x4C04,0xB,0.679,235,189,,88bfda92a8c249d28a0162d4b3231572c37c5db1,"<Scene>
  <EggLists_Version4 |  Name=""LoadingScreen"" | Text1( |   <Value | Use en2d"" Type=""Bool""  | =""True""/'l | Freezable  | 
Draw Priority"
12,0x0020E73E,0x0020E75E,0x0020F4CA,3468,MainMenu,mainmenu,0x3E0D0A11,0x0B02,0xE85D,0x101,0x200000,0x0404,0xB,0.6644,214,176,Progress;Training,fc7753c24011337257d57175676426579bb4ead4,"<Scene>
  <EggLists_Version4 |  Name=""MainMenu"" | OnePlayer(t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'` | Freezable  | 
Draw Priority"
13,0x0020F4CA,0x0020F4EA,0x00211FA1,10967,GameOptions,gameoptions,0x3E0D0A11,0xA304,0x7B06,0x1000101,0x200000,0x4905,0xB,0.6722,644,529,Options;MemoryCard,64f8424106d9555312aa77d0e0de61d4d0795914,"<Scene>
  <EggLists_Version4 |  Name=""GameOptions"" | FormatText(x |   <Value | Use en2d"" Type=""Bool""  | =""True""/'d | Freezable  | 
Draw Priority"
14,0x00211FA1,0x00211FC1,0x00212860,2239,GameOptions,gameoptions,0x3E0D0A11,0xBA01,0xFA31,0x101,0x200000,0x1004,0xB,0.6775,134,105,Options;MemoryCard,88db3e2b47f27d95c29456f344a5485d31f27d04,"<Scene>
  <EggLists_Version4 |  Name=""GameOptions"" | MemoryCardScreen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/' | Freezable3 | 
Draw Priority"
15,0x00212860,0x00212880,0x00213DE9,5513,QuickRace,quickrace,0x3E0D0A11,0x8F04,0x3590,0x101,0x200000,0xF503,0xB,0.6728,319,256,QuickRace,dfe4e45f597b463d46d7c10a160adc372de5ea9f,"<Scene>
  <EggLists_Version4 |  Name=""QuickRace"" | Format(h |   <Value | Use en2d"" Type=""Bool""  | =""True""/'T | Freezable  | 
Draw Priority"
16,0x00213DE9,0x00213E09,0x002147E7,2558,MRallyeLevelScreen,mrallyelevelscreen,0x3E0D0A11,0x8C03,0x0F38,0x101,0x200000,0xCD04,0xB,0.6728,160,126,Progress,584e56becdbd19fc4787f4ee2beda553a768bc18,"<Scene>
  <EggLists_Version4 |  Name=""MRallyeLevelScreen"" |   <Value | Use en2d"" Type=""Bool""  | =""True""/'D | Freezable  | 
Draw Priority | Tick "
17,0x002147E7,0x00214807,0x00214E88,1697,MRallyeStartScreen,mrallyestartscreen,0x3E0D0A11,0x1105,0xC725,0x101,0x200000,0xC404,0xB,0.6853,108,86,MRallyeStart,434ae8aaf9733f58eec5a9d8b73cebba464fc412,"<Scene>
  <EggLists_Version4 |  Name=""MRallyeStartScreen"" |   <Value | Use en2d"" Type=""Bool""  | =""True""/'` | Freezable  | 
Draw Priority | Tick "
18,0x00214E88,0x00214EA8,0x002150D5,589,t..Screen,t..screen,0x3E0D0A11,0xBD01,0x5E08,0x101,0x200000,0x3502,0xB,0.674,35,29,,3d232b28c643defdb71210a1dec3e40cab9c1b1c,"<Scene>
  <EggLists_Version4 |  Name=""t | Screen"" |   <Value | Use en2d"" Type=""Bool""  | =""False""/'h | Freezable3 | 
Draw Priority"
19,0x002150D5,0x002150F5,0x00215AD0,2555,Options,options,0x3E0D0A11,0x3502,0xE542,0x101,0x200000,0x6804,0xB,0.6708,156,126,Options,9fbd7f977fd021b45364ee33badc589f6ae67236,"<Scene>
  <EggLists_Version4 |  Name=""Options"" | Controller(x |   <Value | Use en2d"" Type=""Bool""  | =""True""/'d | Freezable  | 
Draw Priority"
20,0x00215AD0,0x00215AF0,0x0021B9A8,24280,Progress,progress,0x3E0D0A11,0x0501,0xA5DD,0x2000101,0x200000,0x1105,0xB,0.6899,1504,1216,Progress,fe03e6c025c05477db873c0b6edd70742b759be5,"<Scene>
  <EggLists_Version4 |  Name=""Progress"" | Cla*d |   <Value | Use en2d"" Type=""Bool""  | =""True""/'P | Freezable  | 
Draw Priority"
21,0x0021B9A8,0x0021B9C8,0x0021FD44,17308,Controller Options,controlleroptions,0x3E0D0A11,0x7E05,0x99DB,0x1000101,0x200000,0x3F05,0xB,0.6677,1008,812,Options;VehicleSelect,aa6fb6f022e2f534c3229e673c0e5a3970bbdb6e,"<Scene>
  <EggLists_Version4 |  Name=""Controller Options"" | VehicleSelectScreen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/' | Freezable3 | 
Draw Priority"
22,0x0021FD44,0x0021FD64,0x0022345E,14106,Common,common,0x3E0D0A11,0x3504,0xE378,0x1000101,0x200000,0x1404,0xB,0.6647,804,652,QuickRace,237f3c4288ce5029b316f179ddc4df1215be4f36,"<Scene>
  <EggLists_Version4 |  Name=""Common"" | arText(l |   <Value | Use en2d"" Type=""Bool""  | =""True""/'X | Freezable  | 
Draw Priority"
23,0x0022345E,0x0022347E,0x0022673F,13025,Common,common,0x3E0D0A11,0x6404,0x1446,0x1000101,0x200000,0x1504,0xB,0.6627,763,609,QuickRace,191f2652203f9bc0f7e5b8eda8ee88003eac09d3,"<Scene>
  <EggLists_Version4 |  Name=""Common"" | arText(l |   <Value | Use en2d"" Type=""Bool""  | =""True""/'X | Freezable  | 
Draw Priority"
24,0x0022673F,0x0022675F,0x002280CE,6543,QuickRace,quickrace,0x3E0D0A11,0xCB01,0x63B3,0x101,0x200000,0xD604,0xB,0.6674,369,306,QuickRace;Options;VehicleSetup,af2fc23b336a8da89a3b56c426dad95714d7e8e2,"<Scene>
  <EggLists_Version4 |  Name=""QuickRace"" | Start,t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'` | Freezable  | 
Draw Priority"
25,0x002280CE,0x002280EE,0x00229AD3,6661,QuickRace,quickrace,0x3E0D0A11,0x0D03,0x41A6,0x101,0x200000,0x6004,0xB,0.6693,415,326,QuickRace;VehicleSetup,ffdece709e05cbd4bd93a0c0a874caee4efc89b6,"<Scene>
  <EggLists_Version4 |  Name=""QuickRace"" | Start,t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'` | Freezable  | 
Draw Priority"
26,0x00229AD3,0x00229AF3,0x0022B475,6562,QuickRace,quickrace,0x3E0D0A11,0xD401,0x3E9F,0x101,0x200000,0x1F04,0xB,0.6771,385,313,QuickRace;VehicleSetup,07373a4b2f9adad9137c600b2b9eae7fc13a41f7,"<Scene>
  <EggLists_Version4 |  Name=""QuickRace"" | Start,t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'` | Freezable  | 
Draw Priority"
27,0x0022B475,0x0022B495,0x0022D694,8735,QuickRace,quickrace,0x3E0D0A11,0xEC04,0xD9D0,0x101,0x200000,0x2004,0xB,0.6678,496,406,QuickRace;VehicleSetup,bcd6cb5717451a6303aa26abe90c94391e633398,"<Scene>
  <EggLists_Version4 |  Name=""QuickRace"" | Start,t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'` | Freezable  | 
Draw Priority"
28,0x0022D694,0x0022D6B4,0x0022EF5E,6346,RaceResults,raceresults,0x3E0D0A11,0x4D04,0x8BAB,0x101,0x200000,0xBD03,0xB,0.6748,392,319,RaceResults;Options,a2981e4a73b073311fdee20ba2fa98d5b73003fb,"<Scene>
  <EggLists_Version4 |  Name=""RaceResults"" | Position(p |   <Value | 
Use en2d"" Typ@
 | Bool""  | =""True""/'\ | Freezable "
29,0x0022EF5E,0x0022EF7E,0x0022F81D,2239,RaceRetry,raceretry,0x3E0D0A11,0x0B03,0xC43E,0x101,0x200000,0x0504,0xB,0.6534,137,111,,ca37710f80b2d72445667b9879bc49fba1c42e0c,"<Scene>
  <EggLists_Version4 |  Name=""RaceRetry"" |   <Value | 
Use en2d"" TypL	 | Bool""  | =""True""/'P | Freezable  | 
Draw Priority"
30,0x0022F81D,0x0022F83D,0x00231025,6152,NewStyle,newstyle,0x3E0D0A11,0x9A04,0x8FA1,0x101,0x200000,0x3404,0xB,0.6704,354,288,,3ab2361909655fb25cd5d9838467c6158d6b7eed,"<Scene>
  <EggLists_Version4 |  Name=""NewStyle"" | 
RaceLeftArrow( |   <Value | Use en2d"" Type=""Bool""  | =""True""/'p | Freezable  | 
Draw Priority"
31,0x00231025,0x00231045,0x0023163A,1557,RaceRetry,raceretry,0x3E0D0A11,0x9F00,0x9823,0x101,0x200000,0xB604,0xB,0.6635,95,73,ReplayTheatre,a0b333d1f6bb9e49ce579c7019719ebbf20b6369,"<Scene>
  <EggLists_Version4 |  Name=""RaceRetry"" |   <Value | 
Use en2d"" TypL	 | Bool""  | =""True""/'P | Freezable  | 
Draw Priority"
32,0x0023163A,0x0023165A,0x002327A0,4454,ScreenCentre..,screencentre..,0x3E0D0A11,0x3F01,0x6F78,0x101,0x200000,0x6505,0xB,0.6729,270,215,,0d7fb16c829541b0b878fba770f0cea823e24cb1,"<Scene>
  <EggLists_Version4 |  Name=""ScreenCentre |   <Value | Use en2d"" Type=""Bool""  | =""False""/' | Freezable3 | 
Draw Priority | Tick;"
33,0x002327A0,0x002327C0,0x00232FBF,2079,TitleScreen,titlescreen,0x3E0D0A11,0xCA03,0x2B2A,0x101,0x200000,0x2D05,0xB,0.671,116,91,,0965e942feafd5190ba00128ae937c5ca17826f8,"<Scene>
  <EggLists_Version4 |  Name=""TitleScreen"" |   <Value | Use en2d"" Type=""Bool""  | =""True""/'h | Freezable  | 
Draw Priority | Tick "
34,0x00232FBF,0x00232FDF,0x002335A0,1505,Training,training,0x3E0D0A11,0xD202,0x1C24,0x101,0x200000,0x4F04,0xB,0.6724,93,75,Training,4c4f4afe2b4380f6f8e9d655e58991a4f77e8ffa,"<Scene>
  <EggLists_Version4 |  Name=""Training"" |   <Value | Use en2d"" Type=""Bool""  | ue""/'` | Freezable  | 
Draw Priority | Tick "
35,0x002335A0,0x002335C0,0x00234841,4769,Trophy,trophy,0x3E0D0A11,0x7201,0x5278,0x101,0x200000,0xFE04,0xB,0.6796,301,246,,ddade3192d60694bfa97e902173ecab317c25551,"<Scene>
  <EggLists_Version4 |  Name=""Trophy"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/'p | Freezable3 | 
Draw Priority"
36,0x00234841,0x00234861,0x00237740,12031,NewStyle,newstyle,0x3E0D0A11,0x9105,0xAF36,0x1000101,0x200000,0x3704,0xB,0.6769,707,576,Options;VehicleSelect,7c3654825c2aeb7b8a70224614e99e79eabfdef8,"<Scene>
  <EggLists_Version4 |  Name=""NewStyle"" | 	CarLeftArrow( |   <Value | Use en2d"" Type=""Bool""  | =""True""/'l | Freezable  | 
Draw Priority"
37,0x00237740,0x00237760,0x0023BF88,18504,VehicleSetup,vehiclesetup,0x3E0D0A11,0x1E05,0xA0B8,0x1000101,0x200000,0x6404,0xB,0.6694,1094,878,Options;VehicleSetup,056686b80a146035f5b7e0fc8c0530fcd41349c4,"<Scene>
  <EggLists_Version4 |  Name=""VehicleSetup"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/' | Freezable3 | 
Draw Priority"
38,0x0023BF88,0x0023BFA8,0x00240776,18414,VehicleSetup,vehiclesetup,0x3E0D0A11,0xDF03,0x85B8,0x1000101,0x200000,0x4B04,0xB,0.6707,1081,865,Options;VehicleSetup,b064b825413ca74953ab2bb182f6c735f87699da,"<Scene>
  <EggLists_Version4 |  Name=""VehicleSetup"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/' | Freezable3 | 
Draw Priority"
39,0x00240776,0x00240796,0x0024444A,15572,VehicleSetup,vehiclesetup,0x3E0D0A11,0xC803,0xCA6E,0x1000101,0x200000,0x6504,0xB,0.6677,934,730,VehicleSetup,d7bc998059a8dc9e4be65a028439c1bd872dab2d,"<Scene>
  <EggLists_Version4 |  Name=""VehicleSetup"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/' | Freezable3 | 
Draw Priority"
40,0x0024444A,0x0024446A,0x00247440,12278,Multistate,multistate,0x3E0D0A11,0x6C03,0xB033,0x1000101,0x200000,0x2505,0xB,0.6726,728,585,VehicleSetup,c10f72b645bb469246539693822aab66c0da1c82,"<Scene>
  <EggLists_Version4 |  Name=""Multistate"" | ScreenTyp)x |   <Value | Use en2d"" x | =""Bool""  | =""True""/'d | Freezable "
41,0x00247440,0x00247460,0x0024797D,1341,GameController,gamecontroller,0x3E0D0A11,0x9F04,0xBB23,0x101,0x200000,0xBE03,0xB,0.6928,89,65,,432dcade1ccce2093c14e6111b2e9d55ec0a5d48,"<Scene>
  <EggLists_Version4 |  Name=""GameController"" |   <Value | Use en2d"" Type=""Bool""  | =""False""/'x | Freezable3 | 
Draw Priority | Tick "
42,0x0024797D,0x0024799D,0x0024BBEA,17005,GameController,gamecontroller,0x3E0D0A11,0x5F01,0x8909,0x2000101,0x200000,0xB603,0xB,0.671,1017,855,Progress,c4ea118c594323a804b7c12101ad275fa577a40f,"<Scene>
  <EggLists_Version4 |  Name=""GameController"" |   <Value | Use en2d"" Type=""Bool""  | =""False""/'x | Freezable3 | 
Draw Priority | Tick "
43,0x0024BBEA,0x0024BC0A,0x0024FDB6,16844,GameController,gamecontroller,0x3E0D0A11,0xB102,0x46FF,0x1000101,0x200000,0xBF04,0xB,0.6719,992,826,Progress,00a4cf5a68798cc4427fa5d2e5c9df6c009819e1,"<Scene>
  <EggLists_Version4 |  Name=""GameController"" |   <Value | Use en2d"" Type=""Bool""  | =""False""/'x | Freezable3 | 
Draw Priority | Tick "
44,0x0024FDB6,0x0024FDD6,0x00254671,18619,GameController,gamecontroller,0x3E0D0A11,0xD803,0xF113,0x2000101,0x200000,0xD803,0xB,0.6689,1103,908,Progress,87a5f05f1a0a68751b4939eed53219ddffa0d0e3,"<Scene>
  <EggLists_Version4 |  Name=""GameController"" |   <Value | Use en2d"" Type=""Bool""  | =""False""/'x | Freezable3 | 
Draw Priority | Tick "
45,0x00254671,0x00254691,0x00265000,67983,Debug,debug,0x3E0D0A11,0x0903,0x444A,0x2000101,0x200000,0x9F03,0xB,0.4197,2405,1882,Progress,8582e7172584c6e44a70ebdb3a0cf9c75a4661c7,"<Scene>
  <EggLists_Version4 | 
 Name=""Debug"" | Track(d |   <Value | Use en2d"" Type=""Bool""  | =""True""/'P | Freezable  | 
Draw Priority"
